spot_name,spot_address,spot_description,phone_number,business_hour,latitude,longitude
대전신세계 Art&Science백화점,"대전광역시 유성구 엑스포로 1","대전신세계 Art&Science는 쇼핑과 문화를 결합한 혁신적인 공간으로, 최신 패션 브랜드와 라이프스타일 매장을 포함하여 다양한 미식 경험을 제공하는 레스토랑과 카페들이 자리하고 있습니다. 또한 과학과 예술의 융합을 체험할 수 있는 과학관, 아쿠아리움 등 가족 단위 방문객을 위한 즐길 거리가 가득하며, 현대적 감각의 건축과 세련된 내부 디자인이 방문객에게 특별한 경험을 선사합니다.",1588-1234,"일요일: 오전 11:00~오후 9:30 | 월요일: 오전 11:00~오후 9:30 | 화요일: 오전 11:00~오후 9:30 | 수요일: 오전 11:00~오후 9:30 | 목요일: 오전 11:00~오후 9:30 | 금요일: 오전 11:00~오후 9:30 | 토요일: 오전 11:00~오후 9:30",36.3741,127.3845
현대프리미엄아울렛 대전점,"대전광역시 유성구 테크노중앙로 123","현대프리미엄아울렛 대전점은 중부권 최대 규모의 프리미엄 아울렛으로, 다양한 국내외 브랜드를 합리적인 가격에 제공합니다. 패션, 스포츠, 리빙 등 다양한 카테고리의 매장이 입점해 있으며, 가족 단위 방문객을 위한 식당가와 휴식 공간도 마련되어 있습니다.",042-332-2233,"월요일: 10:30~21:00 | 화요일: 10:30~21:00 | 수요일: 10:30~21:00 | 목요일: 10:30~21:00 | 금요일: 10:30~21:00 | 토요일: 10:30~21:00 | 일요일: 10:30~21:00",36.421998,127.393614
대전 중앙시장,"대전광역시 동구 대전로 783","대전 중앙시장은 중부권 최대 규모의 전통시장으로, 다양한 먹거리와 생활용품을 합리적인 가격에 제공합니다. 건어물, 공구, 생선, 한복, 한의약 등 다양한 전문 골목이 있으며, 먹자골목에서는 떡볶이, 순대, 호떡 등 다양한 길거리 음식을 맛볼 수 있습니다.",042-226-0319,"일요일: 08:00~20:00 | 월요일: 08:00~20:00 | 화요일: 08:00~20:00 | 수요일: 08:00~20:00 | 목요일: 08:00~20:00 | 금요일: 08:00~20:00 | 토요일: 08:00~20:00",36.3324,127.4347
으능정이 문화의 거리,"대전광역시 중구 중앙로 164","은행동 으능정이 문화의 거리는 대전의 대표적인 번화가로, 패션, 음식, 문화가 어우러진 활기찬 거리입니다. 거리 중심에 설치된 초대형 LED 영상 아케이드 '스카이로드'는 매일 화려한 영상 쇼를 선보이며, 방문객들에게 특별한 경험을 제공합니다. 다양한 문화 행사와 차 없는 거리로 조성된 이곳은 젊은이들과 관광객들에게 사랑받는 명소입니다.",042-120,"항상 개방",36.3284,127.4297
유성온천,"대전광역시 유성구 봉명동 일대","유성온천은 대전의 대표적인 온천 명소로, 전통적인 온천욕과 현대적인 스파 시설을 갖춘 곳입니다. 온천수는 피부 미용과 건강에 효과가 있는 것으로 알려져 있으며, 주변에는 다양한 숙박 및 음식점이 위치해 있어 관광객들에게 편리함을 제공합니다.",null,null,36.3542,127.3417
장태산 자연휴양림,"대전광역시 서구 장안로 461","장태산 자연휴양림은 편백나무 숲으로 유명한 자연 휴양지로, 숲속 산책로와 전망대가 조성되어 있어 힐링과 여유를 즐길 수 있습니다. 캠핑장과 숙박 시설도 마련되어 있으며, 가족 단위 방문객들에게 인기 있는 명소입니다.",042-270-7886,"월요일~일요일: 09:00~18:00",36.2421,127.3109
한밭수목원,"대전광역시 서구 둔산대로 169","한밭수목원은 대전의 중심에 위치한 도심 속의 녹지 공간으로, 다양한 식물과 생태 체험이 가능한 공원입니다. 동원과 서원으로 나뉘며, 계절별로 변화하는 아름다운 풍경을 즐길 수 있습니다.",042-270-8452,"화요일~일요일: 05:00~22:00",36.3623,127.3833
갑천 둔치,"대전광역시 유성구 갑천변 일대","갑천 둔치는 대전 시민들에게 사랑받는 야외 활동 명소로, 자전거 도로, 산책로, 피크닉 장소 등이 잘 조성되어 있습니다. 계절에 따라 다양한 축제와 행사가 열리며, 가족과 친구들과 함께 즐길 수 있는 여가 공간입니다.",null,null,36.3594,127.3718
동춘당,"대전광역시 대덕구 동춘당로 80","동춘당은 조선 효종 때의 학자 송준길 선생의 별당으로, 조선 시대 별당 건축의 특징을 잘 보여주는 문화재입니다. 현재는 공원으로 조성되어 시민들의 휴식 공간으로 활용되고 있습니다.",042-608-6574,"연중무휴: 08:00~17:00",36.3505,127.4291
우암사적공원,"대전광역시 동구 가양동 1-1","우암사적공원은 조선 시대 학자 우암 송시열 선생의 유적지로, 그의 학문과 정신을 기리기 위해 조성된 공원입니다. 전통 건축물과 함께 아름다운 자연 경관을 감상할 수 있습니다.",042-673-9286,"연중무휴: 09:00~18:00",36.3473,127.4548
