name,종류,address,rating,review_count,전화번호,영업시간,description,latitude,longitude
영화반점(전영화),중식,대전 대덕구 신탄진동로23번길 46,4.2,503.0,042-583-8956,일요일: 오전 10:00~오후 10:00 | 월요일: 오전 10:00~오후 10:00 | 화요일: 오전 10:00~오후 10:00 | 수요일: 오전 10:00~오후 10:00 | 목요일: 오전 10:00~오후 10:00 | 금요일: 오전 10:00~오후 10:00 | 토요일: 오전 10:00~오후 10:00,"영화반점(전영화)은 대전의 대표적인 중식당 중 하나로, 대전 중앙시장에서 오랜 전통을 자랑하는 곳입니다. 영화반점은 그 역사와 더불어 중국 전통 요리를 맛볼 수 있는 곳으로, 대전을 방문하는 여행자들에게 인기 있는 음식점입니다.

이곳의 대표 메뉴는 짜장면과 짬뽕이며, 특히 짬뽕은 진한 국물과 신선한 해산물이 어우러져 많은 사람들에게 사랑받고 있습니다. 또한, 영화반점은 대전 지역 주민들 사이에서도 '전설의 맛집'으로 불리며, 방송과 다양한 매체를 통해 소개되기도 했습니다.

전통적인 맛을 유지하면서도 현대적인 감각을 더한 요리를 제공하는 영화반점은, 대전의 식문화와 중식의 풍미를 동시에 경험할 수 있는 특별한 장소입니다. 여행자가 대전을 방문했을 때 꼭 한 번 들러보아야 할 맛집 중 하나이며, 합리적인 가격과 푸짐한 양으로 만족스러운 식사를 즐길 수 있습니다.

이곳을 방문할 때는 대전 중앙시장의 활기찬 분위기도 함께 경험해보세요. 다양한 상점과 노점들이 있어 소소한 쇼핑과 먹거리를 즐기기에 좋습니다. 영화반점은 대전의 맛과 문화를 깊이 있게 체험할 수 있는 특별한 경험을 제공할 것입니다.",36.4498306,127.4315877
금광식당,한식,대전 중구 충무로 127,3.9,328.0,042-226-8686,일요일: 오전 11:30~오후 9:30 | 월요일: 오전 11:30~오후 9:30 | 화요일: 오전 11:30~오후 9:30 | 수요일: 오전 11:30~오후 9:30 | 목요일: 오전 11:30~오후 9:30 | 금요일: 오전 11:30~오후 9:30 | 토요일: 오전 11:30~오후 9:30,"금광식당은 대전광역시 중구에 위치한 전통 한식당으로, 오랜 역사와 함께 지역 주민들 사이에서 사랑받아온 맛집입니다. 이 식당은 특히 감칠맛 나는 한식 메뉴로 유명하며, 정갈하고 따뜻한 분위기에서 식사를 즐길 수 있는 곳입니다.

금광식당의 대표 메뉴 중 하나는 '청국장'으로, 깊고 진한 맛을 자랑하며 직접 담근 청국장을 사용하여 만든다고 알려져 있습니다. 또한, 다양한 반찬이 함께 제공되어 한식의 풍부한 맛을 체험할 수 있습니다. 이 외에도 김치찌개, 된장찌개, 불고기 등 한국인의 입맛에 맞는 다양한 한식 요리를 제공합니다.

따뜻한 밥과 함께 제공되는 건강한 한식은 여행 중 든든한 한 끼 식사를 하기에 적합하며, 대전의 로컬 문화를 체험할 수 있는 기회를 제공합니다. 금광식당의 전통적이고 소박한 인테리어는 마치 할머니 댁에 온 듯한 편안한 느낌을 주며, 친절한 서비스로 방문객들에게 좋은 인상을 남깁니다.

대전 여행 중 금광식당을 방문하면 지역 주민들이 추천하는 진정한 한식을 맛볼 수 있으며, 대전의 따뜻한 환대를 느낄 수 있을 것입니다.",36.3192514,127.4306281
연아식당,한식,대전 중구 유천로 57-9,4.2,114.0,042-931-4158,일요일: 휴무일 | 월요일: 오전 11:00~오후 8:00 | 화요일: 오전 11:00~오후 8:00 | 수요일: 오전 11:00~오후 8:00 | 목요일: 오전 11:00~오후 8:00 | 금요일: 오전 11:00~오후 8:00 | 토요일: 오전 11:00~오후 8:00,"연아식당은 대전광역시에서 오랜 전통과 맛을 자랑하는 한식당 중 하나입니다. 이곳은 지역 주민들뿐만 아니라 대전을 방문하는 관광객들에게도 인기 있는 식당입니다. 연아식당은 정갈하고 정성스러운 한국 전통 요리를 제공합니다. 특히, 이곳의 대표 메뉴인 비빔밥과 불고기는 신선한 재료와 정통 레시피로 조리되어 깊고 풍부한 맛을 자랑합니다.

식당 내부는 소박하면서도 아늑한 분위기로 꾸며져 있어 편안한 식사 시간을 보낼 수 있습니다. 또한, 직원들은 친절하고 세심한 서비스로 손님들에게 편안함을 더해 줍니다. 연아식당은 가족 단위의 방문객이나 친구들과 함께 식사하기에 적합하며, 한국의 전통 음식을 경험하고자 하는 외국인 관광객에게도 추천할 만한 곳입니다.

대전의 중심가에 위치해 있어 다른 주요 관광 명소와도 접근성이 좋아 여행 일정 중 편리하게 들를 수 있습니다. 대전을 방문하신다면, 지역의 맛과 정을 느낄 수 있는 연아식당에서의 식사를 고려해보세요.",36.3175669,127.3972938
별천지,한식,대전 동구 산서로1659번길 29,4.0,334.0,042-271-0207,일요일: 오전 11:00~오후 9:00 | 월요일: 오전 11:00~오후 9:00 | 화요일: 오전 11:00~오후 9:00 | 수요일: 오전 11:00~오후 9:00 | 목요일: 오전 11:00~오후 9:00 | 금요일: 오전 11:00~오후 9:00 | 토요일: 오전 11:00~오후 9:00,"별천지는 대전광역시 중구 대흥동에 위치한 전통 한식당으로, 한국의 전통적인 맛과 분위기를 체험할 수 있는 곳입니다. 이곳은 주로 한정식 요리를 전문으로 제공하며, 다양한 반찬과 함께 한국 전통 요리의 깊은 맛을 즐길 수 있습니다. 별천지는 정갈한 음식과 함께 고풍스러운 한옥 분위기의 인테리어가 어우러져 있어, 마치 옛날 한국의 전통 가옥에 온 듯한 느낌을 줍니다.

이 레스토랑은 현지인뿐만 아니라 외국인 관광객에게도 인기가 많으며, 한국의 전통적인 식사 문화를 경험하고자 하는 이들에게 적합합니다. 또한, 별천지는 가족 모임이나 특별한 날을 기념하기 위한 장소로도 추천되며, 대전의 다른 관광지와도 가까워 여행 일정에 포함시키기 좋은 위치에 있습니다. 방문객들은 따뜻한 환대와 함께 정성껏 준비된 음식을 맛보며 한국의 문화와 미각을 동시에 느낄 수 있을 것입니다.",36.2909479,127.4612
홍천식당,한식,대전 유성구 계룡로74번길 8,4.2,171.0,042-822-3175,일요일: 24시간 영업 | 월요일: 24시간 영업 | 화요일: 24시간 영업 | 수요일: 24시간 영업 | 목요일: 24시간 영업 | 금요일: 24시간 영업 | 토요일: 24시간 영업,"홍천식당은 대전에 위치한 전통 한식당으로, 지역 주민들뿐만 아니라 여행자들에게도 사랑받는 맛집 중 하나입니다. 이 식당은 특히 다양한 종류의 한식 요리와 더불어 정갈한 반찬으로 유명합니다. 대전의 지역적 특색을 잘 살린 요리들이 많아, 한국 전통 음식의 맛을 경험하고자 하는 여행자들에게 최적의 장소입니다.

식당 내부는 아늑하고 편안한 분위기로 꾸며져 있어 가족 단위 방문객이나 소규모 모임에 적합합니다. 메뉴에는 다양한 찌개류, 구이류, 그리고 계절에 따라 달라지는 특별 요리가 제공되며, 신선한 재료를 사용하여 건강한 식사를 즐길 수 있습니다. 또한, 이곳의 친절한 서비스는 방문객들이 편안하게 식사를 즐길 수 있도록 돕습니다.

홍천식당은 대전의 여러 관광 명소와도 비교적 가까운 거리에 위치해 있어, 관광 중간에 들러 점심이나 저녁 식사를 하기에 좋습니다. 만약 대전 여행 중 한국의 진정한 맛을 경험하고 싶다면 홍천식당을 방문해 보시는 것을 추천드립니다.",36.3541723,127.3387265
영동식당,한식,대전 중구 계룡로874번길 27-9,,,정보 없음,정보 없음,"영동식당은 대전광역시에 위치한 오래된 한식당으로, 지역 주민들과 방문객들 사이에서 꾸준한 사랑을 받고 있는 곳입니다. 이 식당은 전통적인 한식 요리를 주로 제공하며, 특히 육회비빔밥과 갈비탕으로 유명합니다. 

영동식당의 매력은 신선한 재료를 사용한 정갈한 맛과 푸짐한 양입니다. 고소한 참기름 향이 가득한 육회비빔밥은 한국의 전통적인 맛을 그대로 살려내어 외국인 관광객들에게도 인기가 많습니다. 또한, 진하게 우려낸 갈비탕은 깊고 진한 국물 맛으로 남녀노소 누구나 즐길 수 있는 메뉴입니다.

식당 내부는 전통적인 한옥 스타일로 꾸며져 있어, 한국의 문화와 정서를 느낄 수 있습니다. 따뜻하고 친절한 서비스 역시 이곳을 방문하는 또 다른 이유 중 하나입니다. 대전을 여행하며 한국의 전통 음식을 제대로 맛보고 싶다면, 영동식당은 놓쳐서는 안 될 필수 방문지입니다.",36.3226557,127.4098847
광천식당,한식,대전 중구 대종로505번길 29,3.7,1760.0,042-256-6506,일요일: 오전 11:00~오후 9:30 | 월요일: 오전 11:00~오후 9:30 | 화요일: 오전 11:00~오후 9:30 | 수요일: 오전 11:00~오후 9:30 | 목요일: 오전 11:00~오후 9:30 | 금요일: 오전 11:00~오후 9:30 | 토요일: 오전 11:00~오후 9:30,"광천식당은 대전광역시의 대표적인 맛집 중 하나로, 특히 지역 주민들과 관광객들 사이에서 인기를 끌고 있는 곳입니다. 이 식당은 대전의 전통적인 한식 요리를 맛볼 수 있는 곳으로, 특히 육개장, 갈비탕, 비빔밥 등 다양한 한식 메뉴를 제공합니다. 

광천식당의 가장 큰 매력은 오랜 전통을 자랑하는 정통 한식의 맛입니다. 신선한 재료와 정성 어린 조리법으로 만들어진 음식들은 깊고 진한 맛을 자랑하며, 가족 단위의 방문객이나 친구들끼리의 식사 장소로도 적합합니다. 

식당 내부는 아늑하고 따뜻한 분위기를 자아내며, 친절한 서비스로 손님들에게 편안함을 제공합니다. 또한, 대전의 주요 관광지와 가까운 위치에 있어 방문하기에 편리합니다. 광천식당은 대전의 맛을 제대로 경험하고 싶은 여행자에게 꼭 추천할 만한 곳입니다.",36.3285703,127.4235894
사리원면옥,한식,대전 중구 중교로 62,3.5,1307.0,042-226-4751,일요일: 오전 10:30~오후 9:30 | 월요일: 휴무일 | 화요일: 오전 10:30~오후 9:30 | 수요일: 오전 10:30~오후 9:30 | 목요일: 오전 10:30~오후 9:30 | 금요일: 오전 10:30~오후 9:30 | 토요일: 오전 10:30~오후 9:30,"사리원면옥은 대전광역시에 위치한 전통 한국식 냉면 전문점입니다. 이곳은 특히 메밀면으로 만든 냉면과 진한 육수가 특징입니다. 사리원면옥은 오랜 역사를 자랑하며, 꾸준히 지역 주민들과 관광객들에게 사랑받아 온 곳입니다. 

냉면은 한국의 대표적인 여름 음식 중 하나로, 차가운 육수에 담긴 쫄깃한 면발이 일품입니다. 사리원면옥에서는 평양식과 함흥식 냉면을 모두 즐길 수 있으며, 각각의 특색 있는 맛을 비교해보는 재미도 있습니다. 평양식은 담백하고 깔끔한 맛의 육수를, 함흥식은 매콤하고 강렬한 맛의 비빔냉면을 제공합니다.

또한, 이곳은 냉면 외에도 다양한 한국 전통 음식을 제공합니다. 갈비찜이나 만두 같은 인기 있는 사이드 메뉴도 함께 즐길 수 있어, 가족 단위나 단체 방문객에게도 좋은 선택입니다. 

전통적인 인테리어와 따뜻한 분위기는 식사 시간을 더욱 특별하게 만들어 줍니다. 대전을 방문한다면, 사리원면옥에서 정성껏 준비된 한국 전통 음식을 맛보는 것은 잊을 수 없는 경험이 될 것입니다.",36.3261235,127.4265729
중국성,중식,대전 동구 대전로815번길 66,4.3,195.0,정보 없음,정보 없음,"중국성은 대전광역시 중구에 위치한 중화요리 전문점으로, 대전 지역에서 오랜 역사를 자랑하는 맛집 중 하나입니다. 이곳은 특히 짜장면과 짬뽕 같은 전통적인 중화요리를 비롯하여, 다양한 요리들을 선보입니다. 대전 시민들 사이에서 꾸준한 인기를 얻고 있으며, 가족 단위 방문객이나 친구들과의 모임 장소로도 많이 선택됩니다.

중국성은 넉넉한 양과 합리적인 가격으로 잘 알려져 있어, 많은 사람들이 부담 없이 찾을 수 있는 곳입니다. 또한, 깔끔하고 아늑한 실내 인테리어로 편안하게 식사를 즐길 수 있는 분위기를 제공합니다. 대전을 방문하신다면, 이곳에서 한국식 중화요리의 매력을 경험해보시는 것도 좋은 선택이 될 것입니다. 

여행객이라면 대중교통을 이용해 쉽게 접근할 수 있으며, 대전의 다른 주요 관광지와도 비교적 가까운 위치에 있어 일정을 짜기에 용이합니다. 맛있는 음식을 통해 대전의 또 다른 매력을 발견해보세요!",36.3346716,127.4302705
평양숨두부,한식,대전 동구 대전로 381,4.2,205.0,042-284-4141,일요일: 오전 10:00~오후 10:00 | 월요일: 오전 10:00~오후 10:00 | 화요일: 오전 10:00~오후 10:00 | 수요일: 오전 10:00~오후 10:00 | 목요일: 오전 10:00~오후 10:00 | 금요일: 오전 10:00~오후 10:00 | 토요일: 오전 10:00~오후 10:00,"평양숨두부는 대전에서 유명한 숨두부 전문점 중 하나로, 고유의 맛과 풍미로 많은 사람들에게 사랑받고 있는 곳입니다. '숨두부'는 고소하고 부드러운 두부 요리로, 보통 순두부찌개와는 달리 좀 더 깔끔하고 깊은 맛을 자랑합니다.

이곳에서는 신선한 재료를 사용하여 두부 본연의 맛을 최대한 살리고 있으며, 부드럽고 담백한 맛을 느낄 수 있습니다. 대전 지역 주민들은 물론, 외지에서 온 방문객들에게도 인기가 많아 식사 시간에는 종종 대기줄이 생기기도 합니다.

평양숨두부는 전통적인 한국의 두부 요리를 경험하고자 하는 이들에게 추천할 만한 곳이며, 따뜻하고 편안한 분위기에서 식사를 즐길 수 있습니다. 대전을 방문할 계획이라면, 이곳에서 특별한 두부 요리를 맛보며 여행의 즐거움을 더해보세요.",36.3013134,127.4566745
