name,종류,address,rating,review_count,전화번호,영업시간,description,latitude,longitude
이응노 미술관,문화명소,대전 서구 둔산대로 157,4.4,550,042-934-8466,정보 없음,"이응노 미술관은 대전광역시에 위치한 독특하고 매력적인 미술관으로, 한국의 저명한 화가 이응노를 기리기 위해 설립되었습니다. 이응노는 20세기 한국 미술을 대표하는 작가 중 하나로, 그의 작품은 동양적인 아름다움과 현대적인 감각을 조화롭게 엮어낸 것이 특징입니다.

미술관은 현대적이고 세련된 건축 양식으로 설계되었으며, 자연과 어우러진 조경이 방문객들에게 평화롭고 편안한 분위기를 제공합니다. 내부에는 이응노의 다양한 작품이 전시되어 있으며, 그의 독창적인 예술 세계를 깊이 있게 탐구할 수 있는 기회를 제공합니다. 작품들은 주로 서예, 수묵화, 추상화 등으로 구성되어 있으며, 이응노의 예술적 발전 과정을 한눈에 볼 수 있습니다.

이응노 미술관은 단순한 작품 전시뿐 아니라, 다양한 문화 프로그램과 워크숍을 통해 현대 미술에 대한 이해를 넓히고자 하는 노력을 기울이고 있습니다. 방문객들은 미술관의 상설 전시뿐만 아니라, 정기적으로 열리는 특별 전시와 이벤트를 통해 새로운 예술적 경험을 쌓을 수 있습니다.

대전의 문화적 중심지 중 하나로 꼽히는 이응노 미술관은 예술 애호가뿐만 아니라 가족 단위의 방문객에게도 훌륭한 여행지입니다. 미술관 인근에는 카페와 휴식 공간이 마련되어 있어, 관람 후 여유로운 시간을 보내기에도 좋습니다. 대전을 방문하는 여행자라면 이응노 미술관을 통해 한국 현대미술의 매력을 만끽하시길 추천드립니다.",36.3679309,127.3877917
대전시립미술관,문화명소,대전 서구 둔산대로 155,4.4,1239,042-6297-6967,정보 없음,"대전시립미술관은 대전광역시에 위치한 현대미술 중심의 공공 미술관입니다. 1998년에 개관하여 대전 지역뿐만 아니라 전국적으로도 현대미술을 알리고 확산하는 데 중요한 역할을 하고 있습니다. 미술관은 주로 현대미술 작품을 전시하며, 국내외 유명 작가들의 작품을 포함한 다양한 전시회를 개최합니다.

미술관은 대중에게 예술을 쉽게 접할 수 있는 기회를 제공하기 위해 다양한 교육 프로그램과 워크숍을 운영합니다. 또한, 어린이와 청소년을 위한 특별 프로그램도 마련되어 있어 가족 단위 방문객들에게도 적합한 장소입니다.

미술관 건물은 주변 자연환경과 조화를 이루며, 내부는 밝고 넓은 공간으로 구성되어 있어 자유롭게 작품을 감상할 수 있습니다. 특히 대전시립미술관은 대전 엑스포 과학공원, 한밭수목원 등과 인접해 있어, 예술과 자연을 동시에 즐길 수 있는 좋은 위치에 자리하고 있습니다.

방문객들은 미술관 주변의 아름다운 경관을 즐기며 산책하거나, 인근 카페와 식당에서 휴식을 취할 수 있어, 하루 종일 머물기에도 충분한 매력을 지니고 있습니다. 대전시립미술관은 예술적 영감을 얻고 현대미술의 흐름을 느낄 수 있는 이상적인 장소입니다.",36.3679309,127.3877917
여진불교미술관,문화명소,대전 유성구 엑스포로 624,4.0,26,042-270-7371,일요일: 오전 9:00~오후 7:00 | 월요일: 휴무일 | 화요일: 오전 10:00~오후 7:00 | 수요일: 오전 10:00~오후 7:00 | 목요일: 오전 10:00~오후 7:00 | 금요일: 오전 10:00~오후 7:00 | 토요일: 오전 10:00~오후 7:00,"여진불교미술관은 대전광역시에 위치한 독특하고 매력적인 문화 공간입니다. 이 미술관은 불교 예술과 문화를 중심으로 다양한 예술 작품과 유물을 전시하며, 불교의 깊은 철학과 아름다움을 탐구할 수 있는 기회를 제공합니다.

미술관 내부에는 불교의 역사와 교리를 반영한 다양한 예술 작품들이 전시되어 있습니다. 여기에는 전통적인 불상 조각, 섬세한 불화, 그리고 다양한 불교 의식에 사용되었던 유물들이 포함됩니다. 이러한 작품들은 불교 예술의 정수를 보여주며, 방문자들로 하여금 불교의 정신적 메시지와 예술적 아름다움을 동시에 경험할 수 있게 합니다.

여진불교미술관은 또한 교육 프로그램과 특별 전시회를 통해 불교 예술에 대한 이해를 심화시킬 수 있는 기회를 제공합니다. 이곳은 불교 미술을 공부하거나 관심 있는 사람들에게 특히 유익하며, 예술과 역사를 사랑하는 사람들에게도 매력적인 장소입니다.

조용하고 평화로운 분위기의 미술관은 도시의 소음에서 벗어나 마음을 가다듬고 명상을 즐기기에 좋은 곳입니다. 대전을 방문하는 여행자라면 여진불교미술관을 통해 한국 불교 예술의 매력을 발견해보시길 추천합니다.",36.4104002,127.4063234
한남대 박물관,문화명소,대전 대덕구 한남로 70,4.7,9,042-611-9800,일요일: 오전 10:00~오후 6:00 | 월요일: 휴무일 | 화요일: 오전 10:00~오후 6:00 | 수요일: 오전 10:00~오후 6:00 | 목요일: 오전 10:00~오후 6:00 | 금요일: 오전 10:00~오후 6:00 | 토요일: 오전 10:00~오후 6:00,"한남대 박물관은 대전광역시 대덕구에 위치한 한남대학교 캠퍼스 내에 자리 잡고 있는 박물관입니다. 이 박물관은 지역사회와 학생들에게 역사, 문화, 예술에 대한 깊이 있는 이해를 제공하기 위해 설립되었습니다.

박물관은 주로 고고학, 민속학, 미술사 및 자연사와 관련된 다양한 전시품을 소장하고 있으며, 특히 대전 및 충청지역의 역사와 문화를 탐구하는 데 중점을 두고 있습니다. 전시품들은 지역에서 발굴된 유물, 전통 공예품, 민속 자료 및 현대 미술 작품 등으로 구성되어 있어 다양한 문화적 경험을 제공합니다.

한남대 박물관은 교육적 목적을 가지고 있어, 학생들과 방문객들이 직접 참여할 수 있는 교육 프로그램과 워크숍도 자주 개최합니다. 이는 방문객들이 전시를 보다 체계적으로 이해하고, 문화유산의 중요성을 체감할 수 있도록 돕습니다.

캠퍼스 내에 위치한 덕분에, 박물관을 방문하면서 한남대학교의 아름다운 자연 경관과 함께 산책을 즐길 수도 있습니다. 대전 지역을 여행하면서 지역 문화와 역사를 깊이 있게 체험하고자 하는 분들에게 한남대 박물관은 훌륭한 방문지가 될 것입니다.",36.3543181,127.4215042
대전선사박물관,문화명소,대전 유성구 노은동로 126,4.2,160,042-821-6041,일요일: 휴무일 | 월요일: 오전 10:00~오후 5:00 | 화요일: 오전 10:00~오후 5:00 | 수요일: 오전 10:00~오후 5:00 | 목요일: 오전 10:00~오후 5:00 | 금요일: 오전 10:00~오후 5:00 | 토요일: 휴무일,"대전선사박물관은 한국의 고대 역사와 선사 시대 문화에 대해 깊이 있는 이해를 제공하는 곳으로, 대전을 방문하는 이들에게 흥미로운 경험을 선사합니다. 이 박물관은 다양한 유물과 전시를 통해 구석기 시대부터 철기 시대에 이르기까지의 한국 선사 문화를 조명합니다.

박물관 내부는 여러 개의 전시실로 구성되어 있으며, 각 전시실은 시대별로 중요한 유물과 자료를 전시하여 방문객들이 선사 시대의 생활방식, 사회 구조, 기술 발전 등을 체험할 수 있도록 합니다. 특히, 발굴된 유물들은 이 지역의 역사적 중요성을 강조하며, 대전과 그 주변 지역에서 발견된 다양한 유물들이 전시되어 있어 지역사에 대한 깊은 이해를 돕습니다.

또한, 대전선사박물관은 교육적 목적을 가진 다양한 프로그램과 체험 활동을 제공하여 어린이와 청소년들이 역사에 대한 흥미를 가질 수 있도록 합니다. 이러한 프로그램들은 박물관을 단순한 전시 관람 이상의 살아있는 학습 공간으로 만들어 줍니다.

박물관은 현대적인 시설을 갖추고 있으며, 쾌적한 관람 환경을 제공하기 위해 노력하고 있습니다. 대전선사박물관은 역사에 관심 있는 사람들뿐만 아니라 가족 단위 여행객들에게도 추천할 만한 곳으로, 대전의 풍부한 역사를 더욱 깊이 이해하고 싶은 이들에게 꼭 방문해볼 만한 장소입니다.",36.3710832,127.3245499
충남대 박물관,문화명소,대전 유성구 대학로 99,4.3,48,042-670-2200,:  | :  | :  | :  | :  | :  | : ,"충남대학교 박물관은 대전광역시에 위치한 충남대학교 캠퍼스 내에 자리 잡고 있는 교육 및 문화 공간입니다. 이 박물관은 지역의 역사와 문화를 보존하고 연구하며, 이를 통해 학생들과 일반 대중에게 교육적인 자료를 제공합니다.

박물관은 주로 고고학, 민속학, 그리고 예술 분야에 중점을 두고 다양한 전시물을 소장하고 있습니다. 이곳에서는 충청남도와 대전 지역의 역사적 유물, 전통 생활 용품, 그리고 다양한 예술 작품들을 감상할 수 있습니다. 특히, 지역의 역사적 배경을 이해하고자 하는 방문객들에게는 충남대 박물관이 유익한 정보와 깊은 통찰을 제공할 수 있는 장소입니다.

상설 전시 외에도 특별 기획 전시와 각종 문화행사가 주기적으로 개최되어 방문객들에게 다양한 볼거리와 체험 기회를 제공합니다. 또한, 충남대학교의 교육적 자원을 활용하여 학생들을 위한 체험학습 프로그램이나 강연도 진행되고 있습니다.

박물관은 학생과 대중 모두에게 개방되어 있으며, 캠퍼스 내에 위치해 있어 방문객은 캠퍼스의 다른 명소들도 함께 탐방할 수 있습니다. 대전 지역의 역사와 문화를 깊이 있게 이해하고자 하는 분들에게 충남대 박물관은 놓쳐서는 안 될 방문지입니다.",36.3696055,127.3442843
한밭교육박물관,문화명소,대전 동구 우암로 96,4.3,116,042-270-8640,일요일: 오전 10:00~오후 6:00 | 월요일: 휴무일 | 화요일: 오전 10:00~오후 6:00 | 수요일: 오전 10:00~오후 6:00 | 목요일: 오전 10:00~오후 6:00 | 금요일: 오전 10:00~오후 6:00 | 토요일: 오전 10:00~오후 6:00,"한밭교육박물관은 대전광역시에 위치한 교육 전문 박물관으로, 한국의 교육 역사와 발전 과정을 한눈에 볼 수 있는 곳입니다. 이 박물관은 교육에 관심이 있는 사람들뿐만 아니라 가족 단위 방문객에게도 흥미로운 체험을 제공합니다.

박물관은 다양한 전시관으로 구성되어 있으며, 특히 한국의 전통 교육 방법과 현대 교육의 변천사를 비교하며 관람할 수 있는 기회를 제공합니다. 과거 교실의 모습과 교육 자료, 옛날 교과서와 학습 도구 등이 전시되어 있어 방문객들은 교육의 역사를 생생하게 체험할 수 있습니다.

또한, 체험 프로그램과 교육 워크숍도 운영하여 방문객들이 직접 참여하고 경험할 수 있는 기회를 제공합니다. 이러한 프로그램은 특히 어린이들에게 교육의 재미를 느끼게 하고, 부모와 자녀가 함께 학습할 수 있는 기회를 제공하여 교육에 대한 긍정적인 경험을 쌓을 수 있도록 돕습니다.

한밭교육박물관은 대전의 교육 문화와 역사를 깊이 이해하고자 하는 방문객에게 매우 유익한 장소로, 대전 여행 중 꼭 방문해야 할 명소 중 하나입니다.",36.3696055,127.3442843
대전시립박물관,문화명소,대전 유성구 도안대로 398,0.0,0,정보 없음,정보 없음,"대전시립박물관은 대전광역시의 역사와 문화를 한눈에 볼 수 있는 중요한 문화 공간입니다. 이 박물관은 대전 지역의 고대 유물부터 현대에 이르기까지 다양한 전시물을 통해 지역의 역사적 발전 과정을 조망할 수 있도록 구성되어 있습니다.

박물관은 여러 상설 전시관과 특별 전시관으로 이루어져 있으며, 각 전시관은 테마별로 대전의 역사적 사건, 인물, 문화유산 등을 소개합니다. 상설 전시에서는 대전 지역에서 발견된 고고학적 유물, 전통 문헌, 민속 자료 등을 관람할 수 있습니다. 특별 전시관에서는 국내외의 다양한 주제의 전시가 열리며, 방문 시기에 따라 다양한 문화적 경험을 즐길 수 있습니다.

또한, 대전시립박물관은 교육 프로그램과 각종 문화 행사를 통해 지역 사회와의 소통을 활발히 하고 있습니다. 방문객들은 다양한 체험 활동과 워크숍에 참여하여 대전의 문화와 역사를 더욱 깊이 이해할 수 있습니다.

박물관은 대전의 아름다운 자연 속에 위치해 있어, 전시 관람 후 주변을 산책하며 여유로운 시간을 보낼 수 있습니다. 대전을 방문하는 여행자라면 꼭 들러볼 만한 가치가 있는 곳으로, 지역의 과거와 현재를 함께 느낄 수 있는 특별한 공간입니다.",36.3370261,127.4291791
대전역과 추억의 가락국수,문화명소,대전 동구 중앙로 지하 218,2.5,4,정보 없음,정보 없음,"대전역은 대한민국 대전광역시에 위치한 주요 철도역으로, 경부선과 호남선의 교차점에 있어 전국 각지로의 접근성이 뛰어난 교통의 요지입니다. 대전역은 단순한 교통 허브를 넘어 대전을 방문하는 여행자들에게는 첫인상을 주는 관문이기도 합니다. 역 주변에는 다양한 상점과 음식점들이 즐비해 있어 여행자들이 잠시 쉬어가며 지역 문화를 체험할 수 있는 기회를 제공합니다.

그 중에서도 '추억의 가락국수'는 대전역을 방문하는 많은 여행자들에게 꼭 한 번 들러보아야 할 맛집으로 꼽힙니다. 이곳은 대전역의 플랫폼에서 간편하게 즐길 수 있는 가락국수를 제공하며, 특히 추억을 떠올리게 하는 소박한 맛으로 유명합니다. 가락국수는 깔끔한 육수와 쫄깃한 면발이 일품이며, 많은 이들에게 옛날 여행의 향수를 불러일으킵니다.

대전역에서의 짧은 대기 시간 동안 간단히 배를 채우거나, 대전의 소박한 맛을 경험하고 싶다면 '추억의 가락국수'는 좋은 선택이 될 것입니다. 빠른 시간 내에 제공되는 만큼 기차 시간을 맞추기에도 부담이 없으며, 합리적인 가격으로 누구나 쉽게 즐길 수 있는 한 끼가 됩니다. 대전역과 추억의 가락국수는 이러한 매력으로 인해 대전을 방문하는 이들에게 특별한 여행의 한 페이지를 장식합니다.",36.3359916,127.3347157
국립대전현충원,문화명소,대전 유성구 현충원로 251,4.7,137,042-270-8333,정보 없음,"국립대전현충원은 대한민국 대전광역시에 위치한 국립묘지로, 국가를 위해 희생한 순국선열과 호국영령을 기리기 위해 조성된 장소입니다. 1979년에 개원한 이곳은 서울에 위치한 국립서울현충원에 이어 두 번째로 큰 국립묘지로, 약 330만 제곱미터의 넓은 부지를 자랑합니다.

현충원 내에는 국립묘지의 특성상 여러 묘역이 조성되어 있으며, 일반 장병, 독립유공자, 경찰관, 소방관 등 다양한 분야에서 나라를 위해 헌신한 분들이 안장되어 있습니다. 또한, 묘역 외에도 충혼탑, 현충문, 현충관 등 다양한 기념시설이 있어 방문객들이 경의를 표할 수 있도록 하고 있습니다.

특히, 현충탑은 국립대전현충원의 상징적인 구조물로, 이곳에 방문하는 이들은 탑 아래에서 참배를 하며 나라를 위해 목숨을 바친 분들의 희생을 기립니다. 현충탑에서 내려다보이는 경관은 매우 아름다우며, 주변에 조성된 공원과 산책로는 방문객들에게 조용하고 평화로운 분위기를 제공합니다.

방문 시에는 현충사를 둘러보며 전시된 자료들을 통해 대한민국의 역사와 호국영령들의 이야기를 접할 수 있습니다. 또한, 현충원은 매년 현충일과 같은 특별한 날에는 기념행사와 추모식이 열려 많은 사람들이 방문하여 그 의미를 되새기곤 합니다.

국립대전현충원은 단순한 묘지를 넘어, 나라를 위해 희생한 이들을 기리고 그들의 숭고한 정신을 되새기는 중요한 역사적, 교육적 장소입니다. 방문객들은 이곳에서 고요한 자연 속에서 역사의 깊이를 체험하며 의미 있는 시간을 보낼 수 있습니다.",36.3271167,127.4215289
