name,종류,address,rating,review_count,전화번호,영업시간,description,latitude,longitude
성심당 본점,빵집,대전광역시 유성구 대학로 291,4.5,12025.0,1588-8069,일요일: 오전 8:00~오후 10:00 | 월요일: 오전 8:00~오후 10:00 | 화요일: 오전 8:00~오후 10:00 | 수요일: 오전 8:00~오후 10:00 | 목요일: 오전 8:00~오후 10:00 | 금요일: 오전 8:00~오후 10:00 | 토요일: 오전 8:00~오후 10:00,"성심당 본점은 대전의 대표적인 베이커리로, 대한민국 전역에서 많은 사람들이 방문하는 명소입니다. 1956년에 처음 문을 연 성심당은 오랜 역사와 전통을 자랑하며, 특히 그들의 시그니처 메뉴인 튀김소보로가 유명합니다. 바삭한 튀김 옷 안에 부드러운 소보로 빵과 달콤한 팥소가 어우러진 이 메뉴는 많은 사람들이 성심당을 찾는 이유 중 하나입니다.

본점에 들어서면 다양한 종류의 빵과 디저트가 진열되어 있어, 먹음직한 향과 함께 시각적인 즐거움도 제공합니다. 또한, 성심당은 꾸준히 새로운 메뉴를 개발하여 방문할 때마다 색다른 맛을 경험할 수 있습니다. 빵뿐만 아니라 케이크, 쿠키, 그리고 다른 간식류도 다양하게 준비되어 있어 선택의 폭이 넓습니다.

성심당 본점은 대전역과 가까워 접근성이 좋으며, 주변 관광을 하면서 잠시 들러 간단한 식사를 하거나 디저트를 즐기기에도 좋은 장소입니다. 내부는 현대적이고 깔끔한 인테리어로 꾸며져 있어 편안한 분위기 속에서 쇼핑과 휴식을 즐길 수 있습니다. 대전을 방문한다면 성심당 본점에서 그 특별한 맛을 꼭 경험해 보시길 추천드립니다.",36.36886,127.3638987
성심당 DCC점,빵집,대전광역시 유성구 엑스포로 107,4.4,3399.0,042-220-4153,일요일: 오전 8:00~오후 9:30 | 월요일: 오전 8:00~오후 9:30 | 화요일: 오전 8:00~오후 9:30 | 수요일: 오전 8:00~오후 9:30 | 목요일: 오전 8:00~오후 9:30 | 금요일: 오전 8:00~오후 10:00 | 토요일: 오전 8:00~오후 10:00,"성심당 DCC점은 대전광역시에 위치한 유명한 베이커리 브랜드인 성심당의 지점 중 하나입니다. 성심당은 1956년에 처음 문을 연 이래로 오랜 역사를 자랑하며, 대전의 대표적인 맛집으로 자리 잡았습니다. DCC점은 대전컨벤션센터(Daejeon Convention Center) 근처에 위치하여, 대전을 방문하는 관광객이나 비즈니스 여행객들이 쉽게 찾아갈 수 있는 편리한 위치에 있습니다.

이곳에서는 성심당의 대표 메뉴인 튀김소보로와 부추빵을 비롯한 다양한 빵과 디저트를 즐길 수 있습니다. 튀김소보로는 겉은 바삭하고 속은 부드러운 식감으로, 많은 사람들에게 사랑받는 인기 메뉴입니다. 또한, 성심당은 신선한 재료와 독창적인 레시피로 항상 새로운 맛을 선보이며, 고객에게 즐거운 미식 경험을 제공합니다.

DCC점은 넓고 쾌적한 실내 공간을 제공하며, 편안한 분위기에서 빵을 즐길 수 있는 카페 공간도 마련되어 있습니다. 대전컨벤션센터를 방문하는 길에 가볍게 들러 달콤한 휴식을 취하거나, 특별한 기념품으로 성심당의 베이커리 제품을 구매해보는 것도 좋은 선택입니다. 성심당 DCC점은 대전의 맛과 문화를 함께 느낄 수 있는 매력적인 장소입니다.",36.3750219,127.3916916
성심당 롯데백화점대전점,빵집,대전광역시 서구 계룡로 598 1층,4.5,1760.0,042-220-4136,일요일: 오전 8:00~오후 10:00 | 월요일: 오전 8:00~오후 10:00 | 화요일: 오전 8:00~오후 10:00 | 수요일: 오전 8:00~오후 10:00 | 목요일: 오전 8:00~오후 10:00 | 금요일: 오전 8:00~오후 10:00 | 토요일: 오전 8:00~오후 10:00,"성심당은 대전에서 가장 유명한 빵집 중 하나로, 그 명성이 전국적으로 널리 알려져 있습니다. 성심당 롯데백화점 대전점은 이러한 성심당의 맛있는 빵과 디저트를 백화점이라는 편리한 장소에서 만나볼 수 있는 곳입니다. 

이곳에서는 성심당의 대표 메뉴인 튀김소보루와 부추빵을 포함한 다양한 빵들을 맛볼 수 있습니다. 튀김소보루는 바삭한 소보로 토핑에 달콤한 크림이 들어 있어, 첫 맛부터 마지막까지 즐거운 맛을 선사합니다. 부추빵은 부드러운 빵 속에 부추와 고기를 넣어 만든 소로, 한 끼 식사로도 충분할 만큼 든든한 맛을 자랑합니다.

롯데백화점 대전점은 대전의 중심가에 위치해 있어 쇼핑이나 다른 관광지를 방문하는 중간에 들르기 좋습니다. 백화점 내 다른 매장과 함께 다양한 쇼핑과 먹거리를 즐길 수 있으며, 성심당의 맛있는 빵을 선물용으로 구매하기에도 안성맞춤입니다. 

대전을 방문하신다면 성심당의 맛있는 빵을 꼭 한번 경험해보세요. 성심당 롯데백화점 대전점에서 대전의 대표적인 미식 문화를 느껴보시길 바랍니다.",36.3406287,127.3895615
성심당 케익부띠끄 본점,빵집,대전광역시 중구 대종로 480,4.5,1682.0,1588-8069,일요일: 오전 8:00~오후 10:00 | 월요일: 오전 8:00~오후 10:00 | 화요일: 오전 8:00~오후 10:00 | 수요일: 오전 8:00~오후 10:00 | 목요일: 오전 8:00~오후 10:00 | 금요일: 오전 8:00~오후 10:00 | 토요일: 오전 8:00~오후 10:00,"성심당 케익부띠끄 본점은 대전광역시 중구 은행동에 위치한 대전의 대표적인 베이커리 명소입니다. 1956년에 처음 문을 연 성심당은 그 오랜 역사와 전통을 자랑하며, 대전 지역 주민들뿐만 아니라 전국에서 많은 관광객들이 찾는 인기 장소입니다. 

성심당은 다양한 종류의 빵과 케이크를 제공하는데, 특히 부드러운 크림과 신선한 재료로 만든 케이크가 유명합니다. 그 중에서도 튀김소보로와 부추빵은 성심당의 시그니처 메뉴로 손꼽히며, 방문객들이 꼭 맛보아야 할 명물입니다. 매장은 깔끔하고 세련된 인테리어로 꾸며져 있어 편안한 분위기에서 쇼핑을 즐길 수 있습니다.

또한, 성심당은 제품의 품질과 맛에 대한 자부심을 가지고 있으며, 항상 새로운 메뉴 개발과 서비스 개선에 힘쓰고 있습니다. 방문객들은 이곳에서 특별한 디저트를 구매하거나, 테이크아웃하여 대전 여행 기념품으로 가져가기도 합니다. 대전을 방문한다면 성심당 케익부띠끄 본점에 들러 다양한 베이커리를 맛보며 특별한 경험을 해보시길 추천합니다.",36.3275403,127.4268211
성심당 대전역점,빵집,대전광역시 동구 중앙로 215 대전역사 2F,4.3,441.0,042-220-4138,일요일: 오전 7:00~오후 10:30 | 월요일: 오전 7:00~오후 10:30 | 화요일: 오전 7:00~오후 10:30 | 수요일: 오전 7:00~오후 10:30 | 목요일: 오전 7:00~오후 10:30 | 금요일: 오전 7:00~오후 10:30 | 토요일: 오전 7:00~오후 10:30,"성심당 대전역점은 대전의 대표적인 베이커리 브랜드인 성심당의 지점을 대전역 근처에서 편리하게 만날 수 있는 곳입니다. 성심당은 1956년에 설립되어 오랜 전통과 뛰어난 품질의 빵과 디저트로 많은 사랑을 받고 있는 곳입니다. 특히, 튀김소보로와 부추빵은 성심당의 시그니처 메뉴로, 대전을 방문하는 많은 사람들이 꼭 맛보고 싶어하는 인기 제품입니다.

대전역점은 주요 기차역인 대전역과 가까워 접근성이 뛰어나며, 여행 중 잠시 들러 맛있는 간식을 즐기기에 이상적인 장소입니다. 깔끔하고 현대적인 인테리어 덕분에 편안한 분위기에서 쇼핑할 수 있고, 다양한 종류의 빵과 케이크, 패스트리 등을 한 자리에서 만나볼 수 있습니다. 여행 중 기차를 기다리거나 대전을 떠나기 전 간단한 선물을 고르기에도 좋습니다.

성심당 대전역점은 대전의 맛을 경험할 수 있는 곳으로, 맛있고 신선한 빵을 통해 대전 여행의 특별한 추억을 만들어 보세요.",36.3329305,127.432816
성심당 옛맛솜씨,빵집,대전광역시 중구 은행동 대종로480번길 16,4.4,42.0,정보 없음,일요일: 오전 9:30~오후 9:00 | 월요일: 오전 9:30~오후 9:00 | 화요일: 오전 9:30~오후 9:00 | 수요일: 오전 9:30~오후 9:00 | 목요일: 오전 9:30~오후 9:00 | 금요일: 오전 9:30~오후 9:00 | 토요일: 오전 9:30~오후 9:00,"성심당 옛맛솜씨는 대전에서 가장 유명한 제과점 중 하나로, 대전의 대표적인 맛집으로 손꼽힙니다. 1956년에 처음 문을 연 성심당은 시간이 지나면서 대전의 상징적인 장소가 되었으며, 그 역사와 전통을 자랑합니다.

성심당은 특히 '튀김소보로'와 '부추빵'으로 유명합니다. 튀김소보로는 바삭한 겉면과 부드러운 속이 조화를 이루어 많은 사람들에게 사랑받는 메뉴입니다. 부추빵은 고소한 부추와 특제 소스를 사용하여 독특한 맛을 자랑합니다. 이 외에도 다양한 빵과 케이크, 디저트를 판매하고 있어 방문객들에게 다양한 선택지를 제공합니다.

성심당 옛맛솜씨는 대전 시민뿐만 아니라 전국 각지에서 찾아오는 관광객들에게도 인기가 많습니다. 대전을 방문한다면, 성심당에서 빵을 맛보며 그 전통의 맛을 경험해보는 것도 좋은 추억이 될 것입니다. 또한, 베이커리 안에는 다양한 빵과 함께 어울릴 수 있는 음료들도 마련되어 있어, 편안한 분위기에서 휴식을 취할 수 있습니다.",36.3275312,127.4275688
하레하레 둔산점,빵집,"대전광역시 서구 둔산로 155 크로바아파트 상가동 1,2층",4.2,616.0,정보 없음,일요일: 오전 9:00~오후 10:00 | 월요일: 오전 9:00~오후 10:00 | 화요일: 오전 9:00~오후 10:00 | 수요일: 오전 9:00~오후 10:00 | 목요일: 오전 9:00~오후 10:00 | 금요일: 오전 9:00~오후 10:00 | 토요일: 오전 9:00~오후 10:00,"하레하레 둔산점은 대한민국 대전광역시의 둔산동에 위치한 인기 있는 카페입니다. 이 카페는 젊은 층부터 가족 단위 방문객까지 다양한 연령층에게 사랑받고 있으며, 트렌디한 분위기와 감각적인 인테리어로 유명합니다. 하레하레는 독특한 음료와 디저트를 제공하기로 유명한데, 특히 시그니처 커피와 다양한 맛의 버블티, 그리고 신선한 재료로 만든 디저트 메뉴들이 많은 인기를 끌고 있습니다.

둔산점은 대전의 중심지인 둔산동에 위치해 있어 접근성이 좋으며, 주변에는 여러 쇼핑몰과 식당, 공원 등이 있어 방문객들이 다양한 활동을 즐길 수 있는 장점이 있습니다. 카페 내부는 아늑하고 편안한 분위기로 꾸며져 있어 친구들과의 만남이나 혼자만의 여유로운 시간을 보내기에 적합합니다. 또한, 주말이나 공휴일에는 다양한 이벤트나 프로모션이 진행되기도 하니 방문 전에 확인해보면 좋습니다.

하레하레 둔산점은 맛있는 음식과 음료를 즐기면서 대전의 활기찬 분위기를 만끽할 수 있는 장소로, 대전을 방문하는 여행객들에게 추천할 만한 곳입니다.",36.3524356,127.3926841
하레하레베이커리카페2호점,빵집,대전광역시 서구 탄방동 587번지 1층,4.0,6.0,042-483-1595,일요일: 오전 8:00~오후 10:30 | 월요일: 오전 8:00~오후 10:30 | 화요일: 오전 8:00~오후 10:30 | 수요일: 오전 8:00~오후 10:30 | 목요일: 오전 8:00~오후 10:30 | 금요일: 오전 8:00~오후 10:30 | 토요일: 오전 8:00~오후 10:30,"하레하레베이커리카페 2호점은 대전의 숨겨진 보석 같은 곳으로, 맛있는 빵과 커피를 즐기며 여유로운 시간을 보낼 수 있는 장소입니다. 이 카페는 특히 아늑하고 감각적인 인테리어로 유명하여, 방문객들에게 편안하고 따뜻한 분위기를 제공합니다. 

카페의 베이커리는 신선한 재료를 사용하여 매일 아침 직접 구워내며, 다양한 종류의 빵과 페이스트리를 제공합니다. 크루아상, 바게트, 파이 등 누구나 좋아할 만한 다양한 선택지가 준비되어 있어, 빵을 사랑하는 사람들에게는 천국과 같은 곳입니다. 또한, 특별한 날에는 한정 메뉴도 선보이기 때문에 방문할 때마다 새로운 맛을 경험할 수 있습니다.

커피 메뉴 또한 다양하여, 에스프레소부터 카페라떼, 시그니처 블렌드까지 커피 애호가를 만족시킬 수 있는 다채로운 옵션이 마련되어 있습니다. 계절에 따라 제공되는 특별 음료도 있으니, 계절별로 바뀌는 메뉴를 시도해보는 것도 추천합니다.

하레하레베이커리카페 2호점은 대전의 소음에서 벗어나 조용한 시간을 보내고 싶은 사람들에게 이상적인 장소입니다. 친구와의 수다, 가족과의 나들이, 또는 혼자만의 사색을 위한 공간으로 활용하기 좋습니다. 방문객들은 맛있는 음식과 함께 여유로운 시간을 즐기며 일상의 소소한 행복을 느낄 수 있을 것입니다.",36.348234,127.3835045
하레하레과자 도안점,빵집,대전광역시 서구 원도안로 26번길 13,4.4,290.0,정보 없음,정보 없음,"하레하레과자 도안점은 대전광역시 유성구에 위치한 매력적인 과자점으로, 독특하고 다양한 수제 과자를 선보입니다. 이곳은 고급 재료를 사용하여 정성껏 만든 과자들로 유명하며, 방문객들에게 특별한 미식 경험을 제공합니다. 매장 내부는 아기자기하게 꾸며져 있어 따뜻하고 아늑한 분위기를 느낄 수 있습니다.

하레하레과자 도안점에서는 전통적인 한국 과자부터 창의적인 퓨전 과자까지 다양한 선택지를 제공합니다. 특히, 계절에 따라 변화하는 특별 메뉴가 있어 방문할 때마다 새로운 재미를 느낄 수 있습니다. 손님들이 원하는 대로 포장해주는 서비스도 제공하므로, 소중한 사람들에게 선물하기에도 좋습니다.

또한, 이곳은 가족 단위의 방문객이나 친구들과 함께 하기 좋은 장소로, 어린이들도 좋아할 만한 귀여운 디자인의 과자들이 많습니다. 대전을 여행하는 동안 하레하레과자 도안점에 들러보시면, 특별한 맛과 함께 대전의 따뜻한 환대를 느낄 수 있을 것입니다.",36.3068476,127.3490797
하레하레 갤러리아 타임월드점,빵집,대전광역시 서구 둔산동 1036,,,042-472-1596,일요일: 오전 8:00~오후 10:00 | 월요일: 오전 8:00~오후 10:00 | 화요일: 오전 8:00~오후 10:00 | 수요일: 오전 8:00~오후 10:00 | 목요일: 오전 8:00~오후 10:00 | 금요일: 오전 8:00~오후 10:00 | 토요일: 오전 8:00~오후 10:00,"하레하레 갤러리아 타임월드점은 대전광역시 서구에 위치한 갤러리아 타임월드 백화점 내에 자리한 인기 있는 쇼핑 및 문화 공간입니다. 하레하레는 주로 현대적이고 세련된 패션 아이템과 라이프스타일 제품을 제공하는 매장으로, 젊은 층과 패션에 관심이 많은 사람들 사이에서 인기가 높습니다.

갤러리아 타임월드점은 대전의 중심 상업 지역에 위치하여 접근성이 뛰어나며, 다양한 브랜드와 매장들이 밀집해 있어 쇼핑과 더불어 다양한 라이프스타일을 경험할 수 있는 장소입니다. 하레하레 갤러리아 타임월드점에서는 최신 유행을 반영한 의류, 액세서리, 그리고 독특한 디자인의 가정용품 등을 만나볼 수 있으며, 매장은 깔끔하고 세련된 인테리어로 고객들에게 쾌적한 쇼핑 환경을 제공합니다.

또한, 갤러리아 타임월드 백화점은 다양한 식음료 매장과 문화 이벤트, 전시회 등이 열리기도 하여 쇼핑 외에도 다양한 즐길 거리를 제공합니다. 대전을 방문하는 여행자라면 하레하레 갤러리아 타임월드점을 방문하여 최신 트렌드를 엿보고, 다양한 문화적 경험을 즐겨보는 것도 추천할 만한 활동입니다.",36.352343,127.3785451
