name,종류,address,rating,review_count,전화번호,영업시간,description,latitude,longitude
계족산성,역사명소,대전 대덕구 산디로 79-70,4.5,773,정보 없음,정보 없음,"계족산성은 대전광역시 대덕구에 위치한 역사적인 명소로, 삼국시대에 축조된 산성입니다. 이곳은 백제와 신라가 한반도 중부 지역을 놓고 치열하게 경쟁하던 시기에 전략적으로 중요한 역할을 했습니다. 계족산성은 산 정상에 위치하고 있어, 과거 군사적 요충지로서 적의 침입을 감시하고 방어하기에 유리한 위치를 차지하고 있었습니다.

현재 계족산성은 자연과 역사가 어우러진 관광지로 인기가 많습니다. 성곽을 따라 걸으며 대전 시내와 주변의 아름다운 자연 경관을 감상할 수 있습니다. 계절에 따라 다양한 풍경을 즐길 수 있으며, 특히 가을에는 단풍이 물들어 더욱 매력적입니다.

또한, 계족산성은 등산과 하이킹을 즐기기에 좋은 장소로, 여러 산책로가 잘 조성되어 있어 가족 단위로 방문하기에도 적합합니다. 산을 오르다 보면 곳곳에 배치된 안내 표지판을 통해 산성의 역사와 관련된 정보를 얻을 수 있습니다.

방문객들은 계족산성에서 대전의 자연과 역사를 동시에 체험할 수 있으며, 일상에서 벗어나 여유로운 시간을 보낼 수 있는 좋은 기회를 제공합니다. 대전 여행 중이라면 계족산성을 꼭 방문해 보시길 추천합니다.",36.4052474,127.4410074
회덕향교대성전,역사명소,대전 대덕구 대전로1397번안길 126,5.0,1,정보 없음,정보 없음,"회덕향교대성전은 대전광역시 대덕구에 위치한 유서 깊은 문화재입니다. 이곳은 조선시대에 설립된 향교로, 유교의 가르침을 보급하고 지역 사회의 교육을 담당했던 중요한 기관입니다. 대성전은 향교의 중심 건물로, 공자를 비롯한 여러 성현들의 위패가 봉안되어 있는 곳입니다. 

방문객들은 대성전의 전통 건축 양식과 고풍스러운 분위기를 감상할 수 있으며, 조선시대 교육과 유교 문화에 대한 이해를 깊게 할 수 있습니다. 회덕향교는 특히 가을철 단풍이 아름다워 많은 사람들이 찾는 명소로, 산책을 즐기며 조용히 사색하기에 좋은 장소입니다. 주변 자연 경관과 함께 역사적 의미가 깊은 이곳을 방문하면, 한국의 전통 문화와 역사를 체험할 수 있는 특별한 경험이 될 것입니다.",36.3840974,127.4214723
대전 소대헌ㆍ호연재 고택,역사명소,대전 대덕구 동춘당로 70,0.0,0,042-481-4650,정보 없음,"대전 소대헌ㆍ호연재 고택은 대전광역시 중구에 위치한 역사적인 고택으로, 조선시대의 전통 건축 양식을 잘 보존하고 있는 곳입니다. 이 고택은 '소대헌'이라 불리는 남자 주택과 '호연재'라 불리는 여자 주택으로 구성되어 있습니다. 

소대헌은 남성의 공간으로, 가족의 중요한 의식이나 손님을 맞이하는 장소로 사용되었습니다. 전형적인 한옥의 구조를 따르고 있으며, 툇마루가 특징적입니다. 호연재는 여성의 공간으로, 생활 공간과 부엌이 주를 이루며 가족의 일상생활이 이루어졌던 곳입니다.

고택은 주변의 자연환경과 어우러져 조용하고 평화로운 분위기를 자아내며, 전통 한옥의 아름다움을 직접 체험할 수 있는 장소입니다. 이곳에서는 전통 건축의 섬세한 디테일과 조선시대의 생활문화를 엿볼 수 있어 역사 애호가들은 물론이고, 전통문화에 관심 있는 여행자들에게도 매력적인 관광지입니다.

또한, 고택에서는 다양한 전통문화 체험 프로그램이 제공되기도 하며, 계절별로 열리는 특별 행사나 전시도 놓치지 말아야 할 볼거리입니다. 대전의 역사와 전통을 느끼고 싶다면 이곳을 방문해 보시기를 추천드립니다.",36.3651294,127.4426017
둔산선사유적공원,역사명소,대전 서구 대덕대로317번길 9,3.9,490,042-270-2418,일요일: 24시간 영업 | 월요일: 24시간 영업 | 화요일: 24시간 영업 | 수요일: 24시간 영업 | 목요일: 24시간 영업 | 금요일: 24시간 영업 | 토요일: 24시간 영업,"둔산선사유적공원은 대전광역시 서구 둔산동에 위치한 역사적이고 문화적인 가치가 높은 공원입니다. 이곳은 청동기 시대부터 삼국 시대에 이르는 다양한 유적이 발굴된 곳으로, 대전의 선사시대를 이해하는 데 중요한 역할을 합니다.

공원 내에는 실제로 발굴된 유적들을 바탕으로 복원된 다양한 선사시대 생활 모습을 엿볼 수 있는 전시물들이 마련되어 있어, 방문객들은 당시 사람들의 생활상과 문화를 보다 생동감 있게 체험할 수 있습니다. 또한, 공원 곳곳에는 탐방로가 잘 조성되어 있어 여유롭게 산책을 즐기며 자연과 역사를 동시에 느낄 수 있는 기회를 제공합니다.

둔산선사유적공원은 교육적 목적뿐만 아니라 가족 단위의 나들이 장소로도 인기가 많습니다. 아이들은 선사시대의 도구를 직접 만져보거나 체험 프로그램에 참여하면서 역사를 재미있게 배울 수 있습니다. 이외에도 공원 주변에는 다양한 편의시설과 휴게시설이 잘 마련되어 있어 방문객들이 편안하게 시간을 보낼 수 있습니다.

대전을 방문한다면, 둔산선사유적공원을 통해 한국의 선사시대 역사를 체험하고 자연 속에서 여유로운 시간을 보내는 것을 추천드립니다. 이곳은 역사와 자연이 조화롭게 어우러져 특별한 여행 경험을 선사할 것입니다.",36.3605339,127.3783713
도산서원,역사명소,대전 서구 남선로 8,4.1,81,정보 없음,정보 없음,"도산서원은 한국의 유명한 서원 중 하나로, 조선시대의 대표적인 유학자 이황(퇴계 이황, 1501-1570)을 기리기 위해 세워진 곳입니다. 도산서원은 경상북도 안동시에 위치하고 있으며, 한국의 전통적인 건축 양식과 자연 경관이 어우러져 아름다운 풍경을 자랑합니다.

이곳은 단순히 교육을 위한 서원 이상의 가치를 지니고 있습니다. 도산서원은 퇴계 이황의 학문적 업적과 사상을 기리며, 조선 시대 유교 이념과 교육 방식을 이해하는 데 중요한 역할을 합니다. 서원에는 이황의 사상을 엿볼 수 있는 다양한 유물과 기록이 보존되어 있어, 방문객들에게 깊은 역사적 통찰을 제공합니다.

서원 내부는 정갈하고 조화로운 구조로 설계되어 있으며, 주요 건물로는 강당인 '도산서당', 사당인 '상덕사', 그리고 서적을 보관하던 '장서각' 등이 있습니다. 이외에도 곳곳에 배치된 조각상과 정원은 방문객들에게 평화롭고 사색적인 분위기를 선사합니다.

또한, 도산서원 근처에는 낙동강이 흐르고 있어 자연과 함께 즐길 수 있는 산책로가 마련되어 있습니다. 이곳에서 한가롭게 산책을 하며 유유자적한 시간을 보내는 것도 여행의 큰 즐거움 중 하나입니다.

도산서원은 단순한 관광지를 넘어, 한국의 역사와 철학을 깊이 있게 이해할 수 있는 장소이자, 아름다운 자연 속에서 문화적 여유를 느낄 수 있는 특별한 공간입니다. 안동을 여행하신다면 꼭 방문해보시길 추천합니다.",36.3436834,127.3959595
봉소루,역사명소,대전 중구 봉소루로 29,4.0,10,042-486-7771,정보 없음,"봉소루는 대전광역시에 위치한 아름다운 자연 명소로, 특히 대전을 방문하는 여행자에게 추천할 만한 곳입니다. 이곳은 대청호반을 따라 조성된 산책로 중 하나로, 고요하고 평화로운 분위기와 함께 자연을 만끽할 수 있는 장소입니다. 

봉소루는 대전의 대표적인 호수인 대청호의 일부분으로, 호수 주변에는 잘 정비된 산책로와 자전거 도로가 있어 산책이나 사이클링을 즐기기에 좋습니다. 이곳에서의 산책은 도시의 번잡함을 벗어나 자연의 소리를 들으며 힐링할 수 있는 시간을 제공합니다. 

또한, 봉소루는 사계절마다 다른 매력을 발산합니다. 봄에는 꽃들이 만개하여 화사한 경관을, 여름에는 짙푸른 녹음과 시원한 바람을, 가을에는 황금빛 단풍을, 겨울에는 눈 덮인 고요한 호수 풍경을 감상할 수 있습니다. 

대청호를 배경으로 한 사진 촬영도 인기 있으며, 특히 일출이나 일몰 시간에는 더욱 아름다운 장면을 연출합니다. 가족, 연인 또는 친구들과 함께 여유로운 시간을 보내기에도 적합한 장소로, 도시 생활에 지친 여행자에게 자연 속에서의 휴식을 제공합니다.

가시는 길에 도시락이나 간단한 음료를 준비해 가시면, 호수 주변에서 피크닉을 즐기기에도 좋습니다. 대전의 자연을 느끼고 싶다면 봉소루가 최적의 장소가 될 것입니다.",36.3091806,127.4408889
단재신채호선생생가지,역사명소,대전 중구 단재로229번길 47,4.4,168,정보 없음,정보 없음,"단재신채호선생생가지는 대한민국 대전광역시에 위치한 중요한 역사적 명소입니다. 이곳은 일제강점기 동안 한국의 독립과 민족의식을 고취시킨 저명한 독립운동가이자 언론인, 역사가인 단재 신채호 선생이 태어나고 자란 곳으로, 그의 생애와 업적을 기리기 위한 장소입니다.

생가지는 전통 한옥 형태로 복원되어 있으며, 방문객들은 당시의 생활상을 엿볼 수 있는 여러 전시물과 자료들을 통해 신채호 선생의 삶과 사상을 깊이 있게 이해할 수 있습니다. 특히 그의 저서와 독립운동 관련 문서들이 전시되어 있어, 한국 근현대사에 대한 이해를 높이는 데 큰 도움을 줍니다.

이곳에서는 또한 다양한 문화 행사와 역사 교육 프로그램이 열리며, 방문객들은 참여를 통해 한국의 독립운동 역사를 보다 체감할 수 있습니다. 대전을 방문하는 여행자라면, 단재신채호선생생가지를 통해 한국의 역사와 문화를 더욱 풍부하게 경험해 보시기 바랍니다.",36.2327095,127.4110839
창계숭절사,역사명소,대전 중구 대둔산로137번길 67,4.3,11,042-606-6286,정보 없음,"창계숭절사는 대전에 위치한 사찰로, 한국의 전통적인 불교 문화를 체험할 수 있는 장소입니다. 이 곳은 조용하고 평화로운 분위기를 자랑하며, 방문객들에게 명상과 휴식을 제공합니다. 창계숭절사는 자연과 잘 어우러진 아름다운 경관을 갖추고 있어 사시사철 다양한 매력을 느낄 수 있습니다. 

사찰 내부에는 전통적인 건축 양식의 대웅전과 다양한 불교 유물들이 있으며, 이러한 요소들은 한국의 역사와 종교적 유산을 이해하는 데 큰 도움을 줍니다. 또한, 창계숭절사에서는 다양한 불교 행사와 명상 프로그램이 정기적으로 열리며, 참가자들은 이를 통해 내면의 평화를 찾고 스스로를 되돌아볼 수 있는 기회를 가질 수 있습니다.

방문객들은 창계숭절사를 둘러보면서 대전 지역의 다른 관광 명소와도 쉽게 연결할 수 있어, 대전 여행의 중요한 코스로 추천됩니다. 이곳에서의 방문은 단순한 관광을 넘어 정신적인 여유와 성찰의 시간을 제공할 것입니다.",36.2843383,127.3723896
유회당,역사명소,대전 중구 운남로85번길 32-20,4.1,65,정보 없음,정보 없음,"유회당은 대전광역시에 위치한 전통 한옥으로, 한국의 고유한 건축 양식을 체험할 수 있는 곳입니다. 이곳은 조선 시대의 양반 가옥을 복원하여 전통 건축의 아름다움과 생활상을 엿볼 수 있는 공간으로, 특히 고풍스러운 기와 지붕과 정교한 목재 구조가 돋보입니다.

유회당은 단순한 관람 목적뿐만 아니라 다양한 문화 체험 프로그램을 통해 방문객에게 더욱 풍부한 경험을 제공합니다. 전통 다도 체험, 한복 입기, 서예, 한국 전통 음식 만들기 등 다양한 프로그램이 마련되어 있어 한국의 전통 문화를 깊이 있게 이해할 수 있습니다.

또한, 유회당은 주변 자연 경관과 조화를 이루고 있어 산책을 즐기기에 좋으며, 고즈넉한 분위기 속에서 사색을 즐기기에도 안성맞춤입니다. 유회당을 방문하는 것은 단순히 건축물 탐방을 넘어, 한국의 전통과 역사를 몸소 체험할 수 있는 특별한 기회가 될 것입니다. 대전 여행 중 시간이 허락한다면 꼭 방문해보시길 추천드립니다.",36.278793,127.4083359
고산사 대웅전,역사명소,대전 동구 대전로316번길 205,4.8,8,정보 없음,정보 없음,"고산사 대웅전은 대한민국 대전광역시에 위치한 아름다운 사찰인 고산사에 있는 주요 법당 중 하나입니다. 이곳은 조용하고 평화로운 분위기를 자랑하며, 전통적인 한국 불교 건축 양식을 잘 보여주는 곳으로 많은 방문객에게 깊은 인상을 줍니다.

대웅전은 일반적으로 불교 사찰에서 가장 중심이 되는 건물로, 석가모니불을 모신 곳입니다. 고산사의 대웅전 역시 마찬가지로 석가모니불을 모셔놓고 있으며, 불교 신자들이 참배하고 명상을 하기 위해 찾는 중요한 장소입니다. 건축 양식은 조선시대의 전통을 따르고 있으며, 목조 건축의 아름다움을 감상할 수 있는 정교한 목각 장식과 단청이 특히 인상적입니다.

대웅전 주변은 사계절 내내 자연의 아름다움을 만끽할 수 있는 산책로로 둘러싸여 있어, 방문객들은 대웅전을 둘러본 후 고요한 자연 속에서 산책을 즐길 수 있습니다. 봄에는 벚꽃이 만개하고, 가을에는 단풍이 물들어 절경을 이루며, 겨울에는 설경이 더해져 각 계절마다 다른 매력을 느낄 수 있습니다.

고산사 대웅전은 불교 신자가 아니더라도 한국의 전통 건축과 문화를 체험하고자 하는 여행자들에게 훌륭한 여행지입니다. 대전을 방문할 때 꼭 들러볼 만한 가치가 있는 장소로, 마음의 평화를 찾고 자연과 문화의 조화를 느끼고 싶다면 이곳을 추천드립니다.",36.3012475,127.4695099
