name,종류,address,rating,review_count,전화번호,영업시간,description,latitude,longitude
유성온천,대표명소,대전 유성구 봉명동 574,4.1,411,정보 없음,정보 없음,"유성온천은 한국 대전광역시에 위치한 유명한 온천 지역으로, 오랜 역사와 다양한 온천 경험을 제공합니다. 이곳은 조선시대부터 그 효능이 알려져 있었으며, 현대에는 많은 관광객과 지역 주민들이 건강과 휴식을 위해 찾는 명소입니다.

유성온천의 물은 알칼리성 탄산천으로, 피부 미용과 피로 회복에 좋다고 알려져 있습니다. 특히, 온천수에 포함된 다양한 미네랄 성분이 피부를 매끄럽게 하고 혈액 순환을 촉진하는 데 도움을 줍니다. 이러한 특성 덕분에 유성온천은 피부 질환 완화와 전반적인 건강 증진을 위해 방문하는 사람들에게 인기가 높습니다.

온천 지역에는 다양한 온천탕과 스파 시설이 마련되어 있어, 온천욕을 즐기기에 적합합니다. 또한, 온천욕뿐만 아니라 다양한 체험 프로그램과 이벤트가 열리기도 하며, 주변에는 맛집과 카페, 전통 시장 등 관광객이 즐길 수 있는 다양한 편의 시설이 잘 갖추어져 있습니다.

유성온천은 대전의 주요 관광지들과도 가까워, 대전의 다른 명소들과 함께 방문하기 좋습니다. 예를 들어, 대전의 국립중앙과학관이나 엑스포과학공원, 대전시립미술관 등과 같이 과학과 예술을 즐길 수 있는 장소들이 인근에 위치해 있어, 온천과 함께 다양한 문화 체험을 즐길 수 있습니다.

편리한 교통 접근성과 함께 다양한 온천 시설과 주변 관광지를 경험할 수 있는 유성온천은 몸과 마음을 힐링할 수 있는 완벽한 여행지입니다.",36.3552986,127.3447963
으능정이문화의거리,대표명소,대전 중구 은행동 45-10,4.3,95,정보 없음,정보 없음,"으능정이문화의거리는 대전광역시 중구에 위치한 활기찬 문화 거리로, 현지인들과 관광객들 모두에게 사랑받는 명소 중 하나입니다. 이 거리는 다양한 상점, 카페, 음식점이 즐비해 있으며, 특히 젊은 층이 많이 찾는 곳으로 유명합니다. 

거리의 이름인 ""으능정이""는 옛 대전의 지명에서 유래했으며, 이곳은 다양한 문화 행사가 자주 열려 대전의 문화 중심지 역할을 하고 있습니다. 거리의 중심부에는 LED 조명으로 밤마다 화려한 빛의 쇼가 펼쳐지는 ""스카이로드""가 있어, 방문객들에게 독특한 시각적 경험을 제공합니다.

관광객들은 이곳에서 쇼핑과 식사를 즐기는 것 외에도 거리 공연과 예술 전시를 감상할 수 있으며, 특히 주말에는 다양한 이벤트가 열려 더욱 활기찬 분위기를 느낄 수 있습니다. 대전의 현대적이고 창의적인 문화를 체험하고 싶다면 으능정이문화의거리 방문을 추천합니다.",36.3293257,127.4283885
대전문화예술단지,대표명소,대전 서구 둔산대로 135,4.5,1797,정보 없음,정보 없음,"대전문화예술단지는 대전광역시의 문화와 예술을 한자리에서 즐길 수 있는 복합 문화 공간입니다. 이 단지는 다양한 예술 형식을 감상하고 체험할 수 있는 기회를 제공하며, 지역 주민과 방문객들이 문화적 영감을 받을 수 있는 장소입니다.

대전문화예술단지에는 여러 주요 시설이 있는데, 그 중에서도 대전예술의전당은 클래식 콘서트, 오페라, 발레 등 다양한 공연이 열리는 곳으로, 훌륭한 음향 시설과 아름다운 건축으로 잘 알려져 있습니다. 또한, 대전시립미술관은 현대미술 작품을 감상할 수 있는 공간으로, 국내외 작가들의 전시회를 통해 관람객들에게 새로운 예술적 경험을 제공합니다.

이 외에도 대전문화예술단지에는 다양한 크고 작은 갤러리, 예술교육센터, 야외 공연장 등이 있어 예술인과 예술 단체들이 창작하고 교류할 수 있는 장으로도 활용됩니다. 가족 단위로 방문하기에도 좋으며, 어린이를 위한 체험 프로그램과 각종 워크숍도 자주 개최됩니다.

대전문화예술단지는 대전의 문화적 중심지로, 예술을 사랑하는 사람이라면 꼭 방문해야 할 곳입니다. 이곳에서 다양한 공연과 전시를 통해 대전의 예술적 풍요로움을 경험해 보세요.",36.3679309,127.3877917
동춘당,대표명소,대전 대덕구 동춘당로 80,4.4,350,정보 없음,정보 없음,"동춘당은 대전광역시 대덕구에 위치한 유서 깊은 고택으로, 조선시대의 대표적인 건축물 중 하나입니다. 이곳은 조선 중기의 문신이자 학자였던 송준길 선생이 1635년에 지은 별당입니다. 송준길 선생은 조선시대 성리학을 연구하고 발전시키는 데 큰 기여를 한 인물로, 그의 학문적 열정과 자연 친화적 삶의 방식을 엿볼 수 있는 장소입니다.

동춘당은 단아하고 고풍스러운 한옥의 아름다움을 그대로 간직하고 있으며, 주변에 조성된 정원과 함께 조화를 이루고 있습니다. 특히, 건물의 배치와 구조는 자연을 고려하여 설계되어 있어, 방문객들은 고즈넉한 자연 풍경 속에서 옛 선비들의 생활방식을 체험할 수 있습니다.

동춘당 내부는 전통적인 한옥의 특징을 잘 보여주고 있으며, 선비들의 서재였던 서원과 다과를 즐기던 다락이 함께 자리하고 있습니다. 이곳을 방문하면 조선시대의 생활과 학문적 분위기를 느낄 수 있으며, 역사와 전통에 대한 깊은 이해를 얻을 수 있습니다.

또한, 동춘당은 대전의 문화재로 지정되어 있어, 보존 상태가 매우 우수합니다. 다양한 문화 행사와 전통 체험 프로그램이 열리기도 하여, 방문객들은 보다 풍성한 경험을 할 수 있습니다. 대전 여행 중 역사와 전통을 느낄 수 있는 특별한 장소를 찾고 있다면, 동춘당은 놓치지 말아야 할 명소입니다.",36.3653366,127.4413938
대전둘레산길,대표명소,대전 중구 문화동 산 18-1,4.5,369,정보 없음,정보 없음,"대전둘레산길은 대전광역시에 위치한 아름다운 자연경관을 자랑하는 도보 여행 코스로, 총 6개의 구간으로 나뉘어져 있습니다. 이 산길은 대전의 주요 산과 자연 명소를 연결하며, 도심 속에서 자연을 만끽할 수 있는 기회를 제공합니다. 

각 구간은 독특한 매력을 지니고 있어, 다양한 풍경과 자연을 경험할 수 있습니다. 예를 들어, 보문산 구간에서는 대전의 도시 전경을 한눈에 감상할 수 있으며, 계족산 구간에서는 울창한 숲과 계곡을 따라 걷는 즐거움을 느낄 수 있습니다. 또한, 대전둘레산길은 잘 정비된 트레일과 다양한 난이도로 구성되어 있어 초보자부터 숙련된 등산객까지 누구나 즐길 수 있습니다.

이 산길을 걷는 동안, 계절에 따라 변하는 자연의 아름다움을 체험할 수 있으며, 봄에는 화사한 꽃들이 만개하고, 가을에는 단풍이 물들어 색다른 매력을 선사합니다. 또한, 중간 중간에는 휴게소나 전망대가 마련되어 있어, 잠시 쉬어가며 주변 경관을 감상할 수 있습니다.

대전둘레산길은 단순한 산책로 이상의 의미를 갖고 있습니다. 지역 주민들과 관광객들에게는 일상에서 벗어나 자연 속에서 힐링할 수 있는 공간이자, 대전의 자연유산과 문화적 가치를 느낄 수 있는 장소로 많은 사랑을 받고 있습니다. 따라서, 대전을 방문한다면 꼭 한 번 둘레산길을 걸어보는 것을 추천드립니다.",36.299327,127.4194064
효문화마을,대표명소,대전 중구 뿌리공원로 47,4.4,9,042-288-8200,정보 없음,"효문화마을은 대전광역시 중구에 위치한 문화 체험 공간으로, 한국의 전통적인 효(孝) 문화를 체험하고 배우기 위한 특별한 장소입니다. 이곳은 가족 단위 방문객들에게 특히 인기가 있으며, 한국의 전통 미덕인 효를 주제로 다양한 체험 프로그램과 전시가 마련되어 있습니다.

효문화마을에서는 전통적인 가옥과 정원을 둘러보며 한국의 옛 생활 방식을 체험할 수 있습니다. 또한, 방문객들은 전통 예절 교육, 다도 체험, 한복 입기 체험 등 다양한 프로그램을 통해 한국 문화를 직접 체험할 수 있습니다. 이러한 프로그램들은 특히 어린이와 청소년들에게 효의 중요성을 배우고, 가족 간의 유대감을 강화하는 데 도움을 줍니다.

마을 내에는 효를 주제로 한 다양한 조각과 예술 작품도 전시되어 있어, 문화 예술적 관점에서도 흥미로운 경험을 제공합니다. 또한, 이곳은 계절별로 다양한 축제와 이벤트가 개최되어 방문객들에게 특별한 즐거움을 선사합니다.

효문화마을은 한국 전통 문화에 대한 깊은 이해와 존중을 바탕으로 설계된 공간으로, 가족과 함께하는 의미 있는 시간을 보내기에 안성맞춤입니다. 방문객들은 이곳에서 한국의 전통 가치와 문화를 배우고, 소중한 사람들과 함께 특별한 추억을 만들 수 있습니다.",36.2853792,127.3830946
대청호반,대표명소,대전 동구 추동 333,4.3,598,042-251-4781,정보 없음,"대청호반은 대전광역시와 충청북도 청주시를 가로지르는 대청호 주변의 아름다운 지역입니다. 이곳은 대청댐 건설로 형성된 인공호수로, 맑고 푸른 물과 주변의 산들이 어우러져 그림 같은 풍경을 자아냅니다. 대청호반은 자연 속에서 여유를 만끽할 수 있는 다양한 활동과 명소들로 관광객들에게 인기 있는 여행지입니다.

호반을 따라 조성된 산책로와 자전거 도로는 호수의 고요함을 즐기기에 안성맞춤이며, 가족 단위의 나들이객이나 연인들에게도 좋은 추억을 선사합니다. 또한, 호수 주변으로는 다양한 카페와 레스토랑이 자리잡고 있어 맛있는 식사와 함께 경치를 감상할 수 있습니다.

대청호 자연생태관은 이 지역의 생태계를 이해할 수 있는 전시와 체험 프로그램을 제공하여 자연에 대한 흥미를 더해줍니다. 또한, 대청호 조각공원에서는 다양한 조각 작품을 감상하며 여유로운 산책을 즐길 수 있습니다.

대청호반은 사계절 내내 각기 다른 매력을 제공합니다. 봄에는 벚꽃이 만개하고, 여름에는 푸른 녹음이 우거지며, 가을에는 단풍이 아름답게 물들고, 겨울에는 호수의 고요함 속에 차분한 분위기를 느낄 수 있습니다. 대전에서 자연을 즐기고 싶다면 대청호반은 꼭 방문해 보아야 할 곳입니다.",36.3717616,127.4756268
엑스포과학공원,대표명소,대전 유성구 엑스포로 85,4.1,126,042-250-1111,일요일: 오전 9:30~오후 5:20 | 월요일: 오전 9:30~오후 5:20 | 화요일: 오전 9:30~오후 5:20 | 수요일: 오전 9:30~오후 5:20 | 목요일: 오전 9:30~오후 5:20 | 금요일: 오전 9:30~오후 5:20 | 토요일: 오전 9:30~오후 5:20,"엑스포과학공원은 대전광역시에 위치한 과학 테마 공원으로, 1993년 대전엑스포가 성공적으로 개최된 후 그 유산을 기리기 위해 조성된 곳입니다. 이 공원은 과학과 기술에 대한 흥미로운 전시와 체험을 제공하여 방문객들이 과학의 세계를 보다 가까이에서 경험할 수 있도록 합니다.

엑스포과학공원의 중심에는 엑스포기념관이 있으며, 여기에는 엑스포 당시의 자료와 기록 등이 전시되어 있어 당시의 역사적 순간을 되새길 수 있습니다. 또한, 공원 내에는 다양한 과학 전시관들이 있어 우주, 생명, 환경 등 다양한 주제의 전시를 통해 과학적 지식을 쌓을 수 있습니다.

특히, 이곳에는 대전의 아이콘 중 하나인 한빛탑이 위치해 있으며, 이 탑은 대전의 경치를 한눈에 내려다볼 수 있는 전망대로, 대전을 방문하는 이들에게 인기 있는 명소입니다. 공원은 넓고 쾌적하게 조성되어 있어 가족 단위의 나들이에 적합하며, 계절별로 다양한 행사와 프로그램이 열려 방문객들에게 다양한 즐거움을 제공합니다.

엑스포과학공원은 과학에 대한 호기심을 자극하고, 즐거운 학습의 기회를 제공하는 대전의 주요 관광지 중 하나로, 대전을 방문하는 관광객에게 추천할 만한 가치가 있는 곳입니다.",36.375126,127.3893882
뿌리공원,대표명소,대전 중구 뿌리공원로 79,4.4,3084,042-288-8310,일요일: 오전 6:00~오후 10:00 | 월요일: 오전 6:00~오후 10:00 | 화요일: 오전 6:00~오후 10:00 | 수요일: 오전 6:00~오후 10:00 | 목요일: 오전 6:00~오후 10:00 | 금요일: 오전 6:00~오후 10:00 | 토요일: 오전 6:00~오후 10:00,"뿌리공원은 대전광역시 중구 침산동에 위치한 한국 최초의 효 테마 공원으로, 가족과 전통 문화의 중요성을 기리기 위해 조성된 특별한 장소입니다. 이 공원은 성씨를 주제로 하여 한국의 다양한 성씨와 그 뿌리를 알리는 조형물들이 설치되어 있으며, 방문객들은 이를 통해 자신의 뿌리를 찾아보는 특별한 경험을 할 수 있습니다.

뿌리공원은 아름다운 자연 경관과 함께 조화를 이루며, 산책로를 따라 걷다 보면 이름난 성씨들의 조각상과 함께 한국 전통 문화에 대한 다양한 정보를 접할 수 있습니다. 또한, 공원 내에는 효를 주제로 한 다양한 조형물과 전시관이 마련되어 있어 가족과 함께 전통적 가치를 되새기기에 좋은 장소입니다.

이 외에도 공원 내에는 어린이들을 위한 놀이시설과 휴식 공간이 잘 갖추어져 있어 가족 단위의 방문객들에게 인기가 많습니다. 봄과 가을에는 다양한 문화 행사와 체험 프로그램이 열려, 방문 시기에 따라 더욱 풍성한 경험을 즐길 수 있습니다. 뿌리공원은 자연 속에서 휴식을 취하며 전통과 효의 가치를 느껴보고 싶은 분들에게 추천할 만한 대전의 명소입니다.",36.2843407,127.3881822
오-월드,대표명소,대전 중구 사정공원로 70,4.2,6778,042-580-4820,일요일: 오전 9:30~오후 10:00 | 월요일: 오전 9:30~오후 10:00 | 화요일: 오전 9:30~오후 10:00 | 수요일: 오전 9:30~오후 10:00 | 목요일: 오전 9:30~오후 10:00 | 금요일: 오전 9:30~오후 10:00 | 토요일: 오전 9:30~오후 10:00,"오-월드는 대전광역시에 위치한 종합 테마파크로, 자연과 놀이가 어우러진 공간입니다. 이곳은 크게 놀이공원, 동물원, 그리고 플라워랜드라는 세 가지 주요 구역으로 나뉘어져 있어 다양한 즐길 거리가 마련되어 있습니다.

놀이공원에는 어린이부터 어른까지 모두가 즐길 수 있는 다양한 놀이기구가 있으며, 스릴 넘치는 롤러코스터부터 여유로운 회전목마까지 다양한 선택지가 있습니다. 가족 단위 방문객에게 특히 인기 있는 장소입니다.

동물원은 다양한 동물들을 가까이서 관찰할 수 있는 기회를 제공합니다. 약 130여 종의 동물들이 서식하고 있으며, 특히 멸종 위기의 동물들을 보호하고 있는 점에서 교육적인 의미도 큽니다. 아이들은 물론 어른들에게도 흥미로운 체험을 제공합니다.

플라워랜드는 사계절 내내 아름다운 꽃과 식물로 꾸며져 있어, 자연의 아름다움을 만끽할 수 있는 공간입니다. 특히 봄과 가을에는 꽃축제가 열리며, 화려한 꽃밭은 사진 촬영을 위한 최고의 장소이기도 합니다.

또한 오-월드는 다양한 편의시설과 식음료 옵션을 제공해 하루 종일 편안하게 즐길 수 있도록 되어 있습니다. 대전 여행 중 자연과 놀이를 동시에 즐기고 싶다면 오-월드는 놓칠 수 없는 필수 방문지입니다.",36.292342,127.3958796
