이름,종류,주소,평점,리뷰수
카이스트(KAIST),과학명소,대전 유성구 대학로 291,4.7,539
엑스포과학공원과 세계엑스포 기념품박물관,과학명소,대전 유성구 대덕대로 480,3.3,12
한국표준과학연구원,과학명소,대전 유성구 가정로 267,4.5,144
한국전자통신연구원,과학명소,대전 유성구 가정로 218,4.5,63
국립중앙과학관,과학명소,대전 유성구 대덕대로 481,4.5,5031
한국한의학연구원,과학명소,대전 유성구 유성대로 1672,4.5,11
대전시민천문대,과학명소,대전 유성구 과학로 213-48,0.0,0
한국천문연구원,과학명소,대전 유성구 대덕대로 776,4.5,32
한국항공우주연구원,과학명소,대전 유성구 과학로 169-84,4.6,26
한국기계연구원,과학명소,대전 유성구 가정북로 156,4.6,61
지질박물관,과학명소,대전 유성구 과학로 124,4.5,644
화폐박물관,과학명소,대전 유성구 과학로 80-67,4.3,726
국가핵융합연구소(NFRI),과학명소,대전 유성구 과학로 169-148,4.6,43
한국화학연구원(KRICT),과학명소,대전 유성구 과학로 169-148,4.8,63
한국에너지기술연구원(KIER),과학명소,대전 유성구 가정로 152,4.6,81
한국생명공학연구원(KRIBB),과학명소,대전 유성구 과학로 125,4.4,5
특허청 발명교육센터(창의발명체험관),과학명소,대전 유성구 과학로 82,4.3,59
한국원자력연구원(KAERI),과학명소,대전 유성구 대덕대로989번길 111,4.3,182
