이름,종류,주소
아토믹버거쉽,기타,대전 서구 관저동로105번길 60
유성온천,대표명소,대전 유성구 봉명동 574
으능정이문화의거리,대표명소,대전 중구 은행동 45-10
대전문화예술단지,대표명소,대전 서구 둔산대로 135
동춘당,대표명소,대전 대덕구 동춘당로 80
대전둘레산길,대표명소,대전 중구 문화동 산 18-1
효문화마을,대표명소,대전 중구 뿌리공원로 47
대청호반,대표명소,대전 동구 추동 333
엑스포과학공원,대표명소,대전 유성구 엑스포로 85
뿌리공원,대표명소,대전 중구 뿌리공원로 79
오-월드,대표명소,대전 중구 사정공원로 70
계족산 황톳길,대표명소,대전 대덕구 장동 453-1
유성온천 족욕체험장,생태환경명소,대전 유성구 봉명동 574
장태산자연휴양림,대표명소,대전 서구 장안로 461
대청호 오백리길,생태환경명소,대전 대덕구 대청로 618-136
한밭수목원,대표명소,대전 서구 둔산대로 169
금강로하스 에코파크,생태환경명소,대전 대덕구 대청로 167
카이스트(KAIST),과학명소,대전 유성구 대학로 291
엑스포과학공원과 세계엑스포 기념품박물관,과학명소,대전 유성구 대덕대로 480
한국표준과학연구원,과학명소,대전 유성구 가정로 267
한국전자통신연구원,과학명소,대전 유성구 가정로 218
국립중앙과학관,과학명소,대전 유성구 대덕대로 481
한국한의학연구원,과학명소,대전 유성구 유성대로 1672
대전시민천문대,과학명소,대전 유성구 과학로 213-48
한국천문연구원,과학명소,대전 유성구 대덕대로 776
한국항공우주연구원,과학명소,대전 유성구 과학로 169-84
한국기계연구원,과학명소,대전 유성구 가정북로 156
이응노 미술관,문화명소,대전 서구 둔산대로 157
대전시립미술관,문화명소,대전 서구 둔산대로 155
여진불교미술관,문화명소,대전 유성구 엑스포로 624
한남대 박물관,문화명소,대전 대덕구 한남로 70
대전선사박물관,문화명소,대전 유성구 노은동로 126
충남대 박물관,문화명소,대전 유성구 대학로 99
한밭교육박물관,문화명소,대전 동구 우암로 96
지질박물관,과학명소,대전 유성구 과학로 124
화폐박물관,과학명소,대전 유성구 과학로 80-67
대전시립박물관,문화명소,대전 유성구 도안대로 398
