이름,종류,주소,평점,리뷰수
이응노 미술관,문화명소,대전 서구 둔산대로 157,4.4,550
대전시립미술관,문화명소,대전 서구 둔산대로 155,4.4,1239
여진불교미술관,문화명소,대전 유성구 엑스포로 624,4.0,26
한남대 박물관,문화명소,대전 대덕구 한남로 70,4.7,9
대전선사박물관,문화명소,대전 유성구 노은동로 126,4.2,160
충남대 박물관,문화명소,대전 유성구 대학로 99,4.3,48
한밭교육박물관,문화명소,대전 동구 우암로 96,4.3,116
대전시립박물관,문화명소,대전 유성구 도안대로 398,0.0,0
대전역과 추억의 가락국수,문화명소,대전 동구 중앙로 지하 218,2.5,4
국립대전현충원,문화명소,대전 유성구 현충원로 251,4.7,137
카리용,문화명소,대전 서구 혜천로 100,5.0,2
대전예술의전당,문화명소,대전 서구 둔산대로 135,4.5,1797
천연기념물센터,문화명소,대전 서구 유등로 927,4.8,107
특허청 발명인의 전당,문화명소,대전 서구 청사로 189,0.0,0
대전 문학관,문화명소,대전 동구 송촌남로11번길 116,4.2,69
"골프테마파크, 조이마루",문화명소,대전 유성구 엑스포로97번길 40,4.3,268
대전 아쿠아리움,문화명소,대전 중구 보문산공원로 469,4.0,2052
대전 시청자미디어센터,문화명소,대전 유성구 대덕대로512번길 20,4.5,40
대전 테미예술창작센터,문화명소,대전 중구 보문로199번길 37-1,0.0,0
대전 창작센터,문화명소,대전 중구 대종로 470,4.1,56
대전 전통나래관,문화명소,대전 동구 철갑2길 2,3.0,2
무형문화재전수회관,문화명소,대전 대덕구 동춘당로94번길 50,4.6,43
대전 평생학습관,문화명소,대전 중구 중교로 56,4.4,25
대전 시립연정국악원,문화명소,대전 서구 둔산대로 181,0.0,0
대전 컨벤션센터,문화명소,대전 유성구 엑스포로 107,4.0,2146
우송예술회관,문화명소,대전 동구 동대전로 171,4.0,377
동구청소년자연수련관,문화명소,대전 동구 산내로474번길 123,4.0,2
SPACE SSEE,문화명소,대전 중구 중앙로130번길 37-6,0.0,0
이공갤러리,문화명소,대전 중구 대흥로139번길 36,4.2,19
쌍리갤러리,문화명소,대전 중구 중앙로130번길 46,4.4,161
현대갤러리,문화명소,대전 중구 중교로 33,3.4,21
우연갤러리,문화명소,대전 중구 대종로 467,3.3,3
대전중구문화원,문화명소,대전 중구 대흥로 109,3.9,180
한밭종합운동장,문화명소,대전 중구 대종로 373,5.0,2
충남대학교 정심화국제문화회관,문화명소,대전 유성구 대학로 99,4.2,734
유성궁도장,문화명소,대전 유성구 덕명로56번길 89,4.7,20
복용승마장,문화명소,대전 유성구 덕명로56번길 199,4.3,71
대전월드컵경기장,문화명소,대전 유성구 월드컵대로 32,4.2,2043
오원화랑,문화명소,대전 서구 둔산중로78번길 36,5.0,2
정부대전청사,문화명소,대전 서구 청사로 189,3.7,42
대전 시청 전시실,문화명소,대전 서구 둔산로 100,4.3,225
대전 평생교육문화센터,문화명소,대전 서구 배재로 181,3.0,2
평송청소년문화센터,문화명소,대전 서구 둔산대로 201,4.2,547
대덕 문화원,문화명소,대전 대덕구 대전로 1348,4.3,27
대전어린이회관,문화명소,대전 유성구 월드컵대로 32,4.5,669
대전교통문화연수원,문화명소,대전 유성구 대덕대로 480,4.1,88
솔로몬로파크,문화명소,대전 유성구 엑스포로 219-39,4.4,416
엑스포다리(야경),문화명소,대전 유성구 엑스포로 85,4.5,1247
한밭도서관,문화명소,대전 중구 서문로 10,4.5,229
현대프리미엄아울렛 대전,문화명소,대전 유성구 테크노중앙로 123,4.4,3878
