이름,종류,주소,평점,리뷰수,전화번호,영업시간
성심당 본점,빵집,대전광역시 유성구 대학로 291,4.5,12025.0,1588-8069,금요일: 오전 8:00~오후 10:00 | 토요일: 오전 8:00~오후 10:00 | 일요일: 오전 8:00~오후 10:00 | 월요일: 오전 8:00~오후 10:00 | 화요일: 오전 8:00~오후 10:00 | 수요일: 오전 8:00~오후 10:00 | 목요일: 오전 8:00~오후 10:00
성심당 DCC점,빵집,대전광역시 유성구 엑스포로 107,4.4,3399.0,1588-8069,금요일: 오전 8:00~오후 10:00 | 토요일: 오전 8:00~오후 10:00 | 일요일: 오전 8:00~오후 10:00 | 월요일: 오전 8:00~오후 10:00 | 화요일: 오전 8:00~오후 10:00 | 수요일: 오전 8:00~오후 10:00 | 목요일: 오전 8:00~오후 10:00
성심당 롯데백화점대전점,빵집,대전광역시 서구 계룡로 598 1층,4.5,1760.0,042-220-4136,금요일: 오전 8:00~오후 10:00 | 토요일: 오전 8:00~오후 10:00 | 일요일: 오전 8:00~오후 10:00 | 월요일: 오전 8:00~오후 10:00 | 화요일: 오전 8:00~오후 10:00 | 수요일: 오전 8:00~오후 10:00 | 목요일: 오전 8:00~오후 10:00
성심당 케익부띠끄 본점,빵집,대전광역시 중구 대종로 480,4.5,1682.0,042-220-4153,금요일: 오전 8:00~오후 10:00 | 토요일: 오전 8:00~오후 10:00 | 일요일: 오전 8:00~오후 9:30 | 월요일: 오전 8:00~오후 9:30 | 화요일: 오전 8:00~오후 9:30 | 수요일: 오전 8:00~오후 9:30 | 목요일: 오전 8:00~오후 9:30
성심당 대전역점,빵집,대전광역시 동구 중앙로 215 대전역사 2F,4.3,441.0,042-220-4138,금요일: 오전 7:00~오후 10:30 | 토요일: 오전 7:00~오후 10:30 | 일요일: 오전 7:00~오후 10:30 | 월요일: 오전 7:00~오후 10:30 | 화요일: 오전 7:00~오후 10:30 | 수요일: 오전 7:00~오후 10:30 | 목요일: 오전 7:00~오후 10:30
성심당 옛맛솜씨,빵집,대전광역시 중구 은행동 대종로480번길 16,4.4,42.0,정보 없음,금요일: 오전 9:30~오후 9:00 | 토요일: 오전 9:30~오후 9:00 | 일요일: 오전 9:30~오후 9:00 | 월요일: 오전 9:30~오후 9:00 | 화요일: 오전 9:30~오후 9:00 | 수요일: 오전 9:30~오후 9:00 | 목요일: 오전 9:30~오후 9:00
하레하레 둔산점,빵집,"대전광역시 서구 둔산로 155 크로바아파트 상가동 1,2층",4.2,616.0,042-483-1595,금요일: 오전 8:00~오후 10:30 | 토요일: 오전 8:00~오후 10:30 | 일요일: 오전 8:00~오후 10:30 | 월요일: 오전 8:00~오후 10:30 | 화요일: 오전 8:00~오후 10:30 | 수요일: 오전 8:00~오후 10:30 | 목요일: 오전 8:00~오후 10:30
하레하레베이커리카페2호점,빵집,대전광역시 서구 탄방동 587번지 1층,4.0,6.0,정보 없음,금요일: 오전 9:00~오후 10:00 | 토요일: 오전 9:00~오후 10:00 | 일요일: 오전 9:00~오후 10:00 | 월요일: 오전 9:00~오후 10:00 | 화요일: 오전 9:00~오후 10:00 | 수요일: 오전 9:00~오후 10:00 | 목요일: 오전 9:00~오후 10:00
하레하레과자 도안점,빵집,대전광역시 서구 원도안로 26번길 13,4.4,290.0,042-472-1596,금요일: 오전 8:00~오후 10:00 | 토요일: 오전 8:00~오후 10:00 | 일요일: 오전 8:00~오후 10:00 | 월요일: 오전 8:00~오후 10:00 | 화요일: 오전 8:00~오후 10:00 | 수요일: 오전 8:00~오후 10:00 | 목요일: 오전 8:00~오후 10:00
하레하레 갤러리아 타임월드점,빵집,대전광역시 서구 둔산동 1036,,,정보 없음,정보 없음
