이름,종류,주소,평점,리뷰수
유성온천 족욕체험장,생태환경명소,대전 유성구 봉명동 574,4.2,2157
대청호 오백리길,생태환경명소,대전 대덕구 대청로 618-136,4.4,603
금강로하스 에코파크,생태환경명소,대전 대덕구 대청로 167,4.1,1148
산디마을 생태공원 캠핑장,생태환경명소,대전 대덕구 산디로 190,3.7,98
로하스 가족공원 캠핑장,생태환경명소,대전 대덕구 대청로424번길 200,4.3,803
상소오토캠핑장,생태환경명소,대전 동구 산내로 748,4.4,436
뿌리공원 캠핑장,생태환경명소,대전 중구 뿌리공원로 79,4.4,3084
장태산자연휴양림캠핑장,생태환경명소,대전 서구 장안로 461,4.4,28
대청댐 물 문화관,생태환경명소,대전 대덕구 대청로 618-136,4.1,704
대동하늘공원,생태환경명소,대전 동구 동대전로110번길 182,4.1,1527
주주 글램핑장,생태환경명소,대전 유성구 성북로 66-19,4.4,49
보문산 숲 치유센터,생태환경명소,대전 중구 보문산공원로 440,4.7,3
로하스 대청水포츠,생태환경명소,대전 대덕구 대청로 167,4.4,12
성북동산림욕장,생태환경명소,대전 유성구 성북로 463,4.0,20
밀쌈마을,생태환경명소,대전 유성구 세동로 44-14,4.2,154
갑천 수상스포츠,생태환경명소,대전 서구 만년동 397,3.9,14
목척교,생태환경명소,대전 중구 은행동 55-8,4.0,830
무수천하마을,생태환경명소,대전 중구 무수동 247-1,0.0,0
보문산,생태환경명소,대전 중구 문화동 산 18-1,4.4,43
선창마을,생태환경명소,대전 유성구 계백로93번길 111,0.0,0
구봉산,생태환경명소,대전 서구 괴곡동 산 55,4.3,47
만인산 자연휴양림,생태환경명소,대전 동구 산내로 106,4.3,2474
찬샘마을,생태환경명소,대전 동구 냉천로 703,4.2,154
식장산,생태환경명소,대전 동구 세천동 358,4.4,39
장동산림욕장,생태환경명소,대전 대덕구 산디로 79-70,4.6,493
계족산,생태환경명소,대전 대덕구 산디로 79-70,4.6,16
 대청호 두메마을,생태환경명소,대전 대덕구 대청호수로1326번길 97,4.2,39
수통골 유원지,생태환경명소,대전 유성구 계산동 667-1,4.5,3154
만인산,생태환경명소,동구 하소동,4.1,10
테미공원,생태환경명소,대전 중구 보문로199번길 37-36,4.4,424
대전보훈공원,생태환경명소,대전 중구 보훈로 46,4.3,98
유림공원,생태환경명소,대전 유성구 어은로 27,4.6,204
대덕사이언스길,생태환경명소,대전 유성구 대덕대로 480,0.0,0
대청호 자연생태관,생태환경명소,대전 동구 천개동로 41,4.1,280
캠프향기 캠핑장,생태환경명소,대전 동구 산내로 710,4.8,69
꿈꾸는 농부 오토캠핑장,생태환경명소,대전 동구 산내로 716,4.0,59
하기숲 캠핑장,생태환경명소,대전광역시 유성구 하기동 259,4.6,14
대전곤충생태관,생태환경명소,대전 서구 둔산대로 191,4.6,155
