이름,종류,주소,평점,리뷰수
계족산성,역사명소,대전 대덕구 산디로 79-70,4.5,773
회덕향교대성전,역사명소,대전 대덕구 대전로1397번안길 126,5.0,1
대전 소대헌ㆍ호연재 고택,역사명소,대전 대덕구 동춘당로 70,0.0,0
둔산선사유적공원,역사명소,대전 서구 대덕대로317번길 9,3.9,490
도산서원,역사명소,대전 서구 남선로 8,4.1,81
봉소루,역사명소,대전 중구 봉소루로 29,4.0,10
단재신채호선생생가지,역사명소,대전 중구 단재로229번길 47,4.4,168
창계숭절사,역사명소,대전 중구 대둔산로137번길 67,4.3,11
유회당,역사명소,대전 중구 운남로85번길 32-20,4.1,65
고산사 대웅전,역사명소,대전 동구 대전로316번길 205,4.8,8
우암사적공원,역사명소,대전 동구 충정로 53,4.4,834
문충사,역사명소,대전 동구 동부로73번길 44,4.0,27
송애당,역사명소,대전 대덕구 계족산로17번길 60,3.8,52
쌍청당,역사명소,대전 대덕구 쌍청당로 17,3.6,14
진잠향교대성전,역사명소,대전 유성구 교촌로 67,4.0,22
숭현서원,역사명소,대전 유성구 엑스포로251번길 36,4.0,22
수운교천단,역사명소,대전 유성구 자운로245번길 80,4.4,104
미륵원,역사명소,대전 동구 마산동 135-2,3.7,3
조선의 정원서재 송시열의 남간정사,역사명소,대전 동구 충정로 53,4.1,69
옛 대전형무소,역사명소,대전 중구 중촌동 16-11,3.6,22
