name	rating	user_ratings_total	types	address	latitude	longitude
자티고개	3.8	21	"['tourist_attraction', 'park', 'point_of_interest', 'establishment']"	대전 유성구 덕명동 산 27	36.3315394	127.268247
무궁화학습원	4.3	136	"['park', 'tourist_attraction', 'point_of_interest', 'establishment']"	충남 계룡시 신도안면 용동리 99-1	36.3247222	127.2447222
성북동산림욕장	4	20	"['tourist_attraction', 'point_of_interest', 'establishment']"	대전 유성구 성북동 산 72-3	36.3153522	127.2775277
동월계곡	4.1	55	"['tourist_attraction', 'point_of_interest', 'establishment']"	충남 공주시 반포면 학봉리 794-57	36.3503263	127.2557262
계룡산국립공원 수통골지구	4.5	3153	"['tourist_attraction', 'park', 'point_of_interest', 'establishment']"	대전 유성구 계산동 산 40	36.3451969	127.2888026
로봇공원	3.6	154	"['tourist_attraction', 'park', 'point_of_interest', 'establishment']"	대전 유성구 구암동 668	36.3593285	127.3071359
두루봉근린공원	4.2	28	"['park', 'tourist_attraction', 'point_of_interest', 'establishment']"	대전 유성구 지족동 881-1	36.3778471	127.3226738
선사공원	4.3	10	"['park', 'tourist_attraction', 'point_of_interest', 'establishment']"	대전 유성구 지족동 881-1	36.3779631	127.3226913
반석어린이공원	4.1	21	"['park', 'tourist_attraction', 'point_of_interest', 'establishment']"	대전 유성구 반석동 655	36.3896282	127.3146917
대전선사박물관	4.2	160	"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']"	대전 유성구 노은동 523	36.3717138	127.3238858
은구비공원	4.7	615	"['park', 'tourist_attraction', 'point_of_interest', 'establishment']"	대전 유성구 지족동 920	36.3740469	127.3241357
벽화마을 (새마을동네)	3.6	39	"['tourist_attraction', 'point_of_interest', 'establishment']"	대전 유성구 구암동 424-43	36.360348	127.3202317
신성근린공원	4.6	5	"['park', 'tourist_attraction', 'point_of_interest', 'establishment']"	대전 유성구 신성동 206	36.387377	127.3477792
대전 성북동 석조보살입상	4.3	12	"['tourist_attraction', 'point_of_interest', 'establishment']"	대전 유성구 성북동 산 12-1	36.3143036	127.2937513
대전 칠성당 지석묘군	4.5	12	"['tourist_attraction', 'point_of_interest', 'establishment']"	대전 유성구 교촌동 7-1	36.3124707	127.3094999
기성관	4	1	"['tourist_attraction', 'point_of_interest', 'establishment']"	대전 유성구 원내동 213-4	36.2996668	127.3163607
대전 내동리 지석묘	5	3	"['tourist_attraction', 'point_of_interest', 'establishment']"	대전 유성구 교촌동 11-1	36.3082328	127.3193959
천년근린공원	4.2	68	"['tourist_attraction', 'park', 'point_of_interest', 'establishment']"	대전 유성구 상대동 485	36.3424676	127.3344411
방죽어린이공원	3.3	26	"['park', 'tourist_attraction', 'point_of_interest', 'establishment']"	대전 유성구 구암동 618-1	36.3505499	127.3319134
들말어린이공원	3.3	9	"['park', 'tourist_attraction', 'point_of_interest', 'establishment']"	대전 유성구 봉명동 568-20	36.353356	127.3355067
작은내수변공원	4.3	435	"['park', 'tourist_attraction', 'point_of_interest', 'establishment']"	대전 유성구 봉명동 1057	36.3432682	127.3418225
용반들근린공원	4.1	23	"['park', 'tourist_attraction', 'point_of_interest', 'establishment']"	대전 유성구 봉명동 1024	36.3521054	127.3420235
온천어린이공원	2.6	14	"['park', 'tourist_attraction', 'point_of_interest', 'establishment']"	대전 유성구 봉명동 537-4	36.3561883	127.3443009
은평공원	4.3	341	"['tourist_attraction', 'point_of_interest', 'establishment']"	대전 서구 월평동 313	36.3595771	127.3628268
둔산대공원	4.5	272	"['park', 'tourist_attraction', 'point_of_interest', 'establishment']"	대전 서구 만년동 396	36.367771	127.3886019
엑스포다리	4.5	1247	"['tourist_attraction', 'point_of_interest', 'establishment']"	대전 유성구 도룡동 604	36.3727149	127.3879907
3·8의거 둔지미공원	4	44	"['park', 'tourist_attraction', 'point_of_interest', 'establishment']"	대전 서구 둔산동 956	36.3571332	127.3754923
대전엑스포시민광장	4.5	3068	"['tourist_attraction', 'park', 'point_of_interest', 'establishment']"	대전 서구 만년동 396	36.3675634	127.3879898
한국과학기술원 오리연못	4.6	329	"['tourist_attraction', 'point_of_interest', 'establishment']"	대전 유성구 구성동 23	36.3682076	127.3625946
